Fecha,Trimestre,Lugar,I. CRIMINALIDAD CONVENCIONAL,1. Homicidios dolosos y asesinatos consumados,2. Homicidios dolosos y asesinatos en grado tentativa,3. Delitos graves y menos graves de lesiones y riña tumultuaria,4. Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6.-Robos con violencia e intimidación,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8. Hurtos,9. Sustracciones de vehículos,10. Tráfico de drogas,11. Resto de criminalidad convencional,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),12.-Estafas informáticas,13.-Otros ciberdelitos,III. TOTAL INFRACCIONES PENALES
2024-03-31,T1,ANDALUCÍA,9.02696825473432,0.00313239012039515,0.00556869354736916,0.135852919666027,0.00104413004013172,0.0805140275390458,0.0138057194195194,0.0667083081195264,0.210914268106607,0.555129138003364,0.382499638034919,2.48178109094419,0.177038049026778,0.12146712800199,5.25452641973842,2.50637615411174,2.21169945389679,0.294676700214952,11.5333444088461
2024-03-31,T1,Provincia de ALMERÍA,8.71787478867148,0.00786338676067783,0.00131056446011297,0.163820557514121,0.00131056446011297,0.104845156809038,0.0249007247421464,0.0799444320668912,0.205758620237736,0.606791345032306,0.48097715686146,1.91735580514528,0.107466285729264,0.162509993054008,5.43884250946883,1.86100153336042,1.65131121974234,0.209690313618075,10.5788763220319
2024-03-31,T1,04003 Adra,8.81834215167548,0,0,0.0391926317852244,0,0.0391926317852244,0,0.0391926317852244,0.0783852635704488,0.62708210856359,0.548696844993141,2.58671369782481,0.117577895355673,0.117577895355673,5.21262002743484,1.4501273760533,1.17577895355673,0.274348422496571,10.2684695277288
2024-03-31,T1,04013 Almería,8.989761934131,0.00493400764771185,0,0.143086221783644,0,0.128284198840508,0.034538053533983,0.0937461453065252,0.325644504748982,0.370050573578389,0.276304428271864,2.6643641297644,0.157888244726779,0.231898359442457,4.96361169359813,2.44233378561737,2.28444554089059,0.157888244726779,11.4320957197484
2024-03-31,T1,04902 Ejido (El),9.65218838409053,0,0,0.18860597991901,0,0.0998502246630055,0.0221889388140012,0.0776612858490043,0.166417041105009,0.35502302102402,0.232983857547013,1.7307372274921,0.122039163477007,0.221889388140012,6.76762633827037,0.976313307816054,0.809896266711045,0.166417041105009,10.6285016919066
2024-03-31,T1,04053 Huércal-Overa,5.33747391916153,0,0,0,0,0.0970449803483915,0,0.0970449803483915,0.0970449803483915,0.436702411567762,0.388179921393566,1.21306225435489,0,0.0485224901741957,3.4450968023679,1.94089960696783,1.69828715609685,0.242612450870979,7.27837352612936
2024-03-31,T1,04066 Níjar,9.52352158664893,0,0,0.393034224210908,0,0.0604668037247551,0.0302334018623776,0.0302334018623776,0.24186721489902,0.423267626073286,0.362800822348531,1.26980287821986,0.151167009311888,0.0907002055871327,6.89321562462208,1.57213689684363,1.36050308380699,0.211633813036643,11.0956584834926
2024-03-31,T1,04079 Roquetas de Mar,12.2980843192557,0.0183143474598,0,0.2564008644372,0,0.1923006483279,0.0549430423794,0.1373576059485,0.4120728178455,0.8790886780704,0.7508882458518,2.7929379876195,0.0641002161093,0.1556719534083,7.5271968059778,2.2251932163657,1.8863777883594,0.3388154280063,14.5232775356214
2024-03-31,T1,04102 Vícar,9.95318189700017,0.0346800762961679,0,0.242760534073175,0,0.138720305184671,0.0346800762961679,0.104040228888504,0.104040228888504,0.589561297034854,0.416160915554014,1.90740419628923,0.104040228888504,0.381480839257846,6.45049419108722,1.42188312814288,1.14444251777354,0.277440610369343,11.3750650251431
2024-03-31,T1,Provincia de CÁDIZ,8.3553178648336,0.00876989470545512,0.00637810524033099,0.128359367961661,0,0.0677673681785168,0.012756210480662,0.0550111576978548,0.165033473093564,0.464804419389121,0.304554525225805,2.17254209748774,0.201707578225468,0.140318315287282,4.99963724526446,2.6341574642567,2.28096988657337,0.353187577683329,10.9894753290903
2024-03-31,T1,11004 Algeciras,9.40965609947351,0,0,0.168029573204884,0,0.064011265982813,0.0320056329914065,0.0320056329914065,0.168029573204884,0.328057738161917,0.176030981452736,1.74430699803165,0.2480436556834,0.576101393845317,6.11307590135864,1.9843492454672,1.65629150730529,0.328057738161917,11.3940053449407
2024-03-31,T1,11006 Arcos de la Frontera,5.47574566771887,0,0,0.0966308059009212,0,0.0966308059009212,0,0.0966308059009212,0.128841074534562,0.483154029504606,0.418733492237325,0.80525671584101,0.0966308059009212,0.193261611801842,3.57533981833409,1.09514913354377,0.934097790375572,0.161051343168202,6.57089480126264
2024-03-31,T1,11007 Barbate,10.1281430269937,0.08807080893038,0,0.13210621339557,0,0.13210621339557,0,0.13210621339557,0.08807080893038,0.66053106697785,0.57246025804747,1.84948698753798,0,0.04403540446519,7.13373552336078,1.89352239200317,1.71738077414241,0.17614161786076,12.0216654189969
2024-03-31,T1,11008 Barrios (Los),9.46566136698902,0,0,0.163907556138338,0,0.122930667103754,0.0409768890345845,0.081953778069169,0.163907556138338,0.204884445172922,0.081953778069169,2.86838223242091,0.122930667103754,0.081953778069169,5.73676446484183,3.52401245697427,3.11424356662842,0.409768890345845,12.9896738239633
2024-03-31,T1,11012 Cádiz,11.7491146401764,0,0,0.133639218656035,0,0.111366015546696,0.0222732031093392,0.0890928124373566,0.311824843530748,0.478873866850792,0.133639218656035,4.81101187161726,0.334098046640087,0.0779562108826871,5.4903445664521,4.62168964518788,3.99803995812638,0.623649687061496,16.3708042853643
