Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,8.-Hurtos,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,6.-Robos con violencia e intimidación,9.-Sustracciones de vehículos,10.-Tráfico de drogas,III. TOTAL INFRACCIONES PENALES
2021,Total Nacional,1312,360,38573,10477,2419,57256,25263,8012,15567,3159,23920,453222
2021,Araba/Álava,2,1,60,32,13,21,73,14,58,5,72,827
2021,Albacete,10,1,318,86,14,443,177,68,83,16,121,3571
2021,Alicante/Alacant,61,17,1602,610,139,1938,1359,628,667,193,1541,21578
2021,Almería,38,13,1367,213,47,670,427,174,221,59,686,10188
2021,Ávila,1,0,148,25,4,55,60,19,7,5,105,1251
2021,Badajoz,21,1,610,102,26,522,319,93,67,26,341,5134
2021,Balears (Illes),63,15,943,494,87,1149,904,326,448,96,500,14866
2021,Barcelona,84,32,5529,1143,316,13443,2600,659,1963,409,2068,61538
2021,Burgos,5,0,291,67,23,132,174,60,65,11,91,2705
2021,Cáceres,3,1,410,65,9,132,128,56,53,4,229,2928
2021,Cádiz,45,9,930,256,43,759,676,206,373,142,1500,12751
2021,Castellón/Castelló,14,5,510,162,29,384,348,160,138,32,189,5421
2021,Ciudad Real,23,10,531,79,18,367,359,141,108,21,205,4964
2021,Córdoba,21,0,630,121,29,345,348,135,145,30,325,5850
2021,Coruña (A),25,10,486,156,30,1029,310,67,158,13,236,7168
2021,Cuenca,5,1,282,44,8,81,85,24,29,8,110,1852
2021,Girona,12,4,947,192,52,1002,518,207,196,71,326,10030
2021,Granada,33,10,730,192,61,999,645,241,283,55,1313,10037
2021,Guadalajara,11,1,253,52,10,119,138,27,58,27,108,2409
2021,Gipuzkoa,31,5,138,81,22,115,315,70,125,21,153,2487
2021,Huelva,12,3,790,124,16,695,334,108,142,28,288,5696
2021,Huesca,1,1,215,54,17,98,106,33,15,13,79,1790
2021,Jaén,14,4,631,112,20,495,302,96,104,25,261,5079
2021,León,10,6,284,45,9,162,187,52,54,11,111,2820
2021,Lleida,5,0,498,104,40,626,166,33,60,43,109,5079
2021,Rioja (La),16,10,449,78,10,345,147,57,53,18,158,3135
2021,Lugo,6,0,213,44,9,180,139,42,46,9,113,2246
2021,Madrid,165,53,3597,1485,410,15687,3511,879,4018,536,2948,73429
2021,Málaga,75,23,1799,452,71,2481,1219,439,732,266,1651,21206
2021,Murcia,59,17,1666,460,84,942,1087,433,545,102,967,15844
2021,Navarra,19,2,331,154,53,355,284,69,146,17,219,4591
2021,Ourense,13,5,310,60,17,145,131,47,68,6,78,2381
2021,Asturias,9,1,984,190,57,991,425,104,182,61,231,7864
2021,Palencia,3,1,78,25,3,72,48,16,34,6,71,1069
2021,Palmas (Las),36,13,1499,358,74,934,821,288,412,90,517,12881
2021,Pontevedra,11,3,530,189,42,438,355,129,128,35,383,5846
2021,Salamanca,2,1,184,48,8,456,126,26,56,5,112,2118
2021,Santa Cruz de Tenerife,27,7,1156,236,45,885,502,170,288,66,287,10546
2021,Cantabria,12,5,582,106,19,650,232,71,91,31,173,4795
2021,Segovia,4,2,112,28,4,104,76,22,21,5,85,1385
2021,Sevilla,72,7,1254,385,50,1004,1415,336,635,186,1392,15764
2021,Soria,1,1,113,23,6,32,36,9,15,1,18,737
2021,Tarragona,25,4,1020,243,62,912,448,191,182,61,507,10014
2021,Teruel,4,0,99,26,6,54,36,5,6,2,89,956
2021,Toledo,38,11,603,125,23,362,383,145,154,42,459,6604
2021,Valencia/València,83,23,1497,643,140,3304,1468,504,1027,139,1259,24082
2021,Valladolid,6,2,305,105,36,297,196,41,103,17,119,3347
2021,Bizkaia,40,10,158,71,24,158,343,87,205,18,131,2659
2021,Zamora,2,0,83,27,6,57,52,17,21,4,84,1146
2021,Zaragoza,16,5,558,237,69,531,609,159,517,40,437,7578
2021,Ceuta,13,4,72,38,4,24,44,11,97,20,138,1291
2021,Melilla,5,0,188,30,5,75,72,18,165,12,227,1689
