Fecha,Lugar,III. TOTAL INFRACCIONES PENALES
2021,Total Nacional,76996
2021,Albacete,395
2021,Alicante/Alacant,3795
2021,Almería,1293
2021,Araba/Álava,710
2021,Asturias,1613
2021,Ávila,159
2021,Badajoz,856
2021,"Balears, Illes",2460
2021,Barcelona,9370
2021,Bizkaia,2058
2021,Burgos,567
2021,Cáceres,683
2021,Cádiz,2527
2021,Cantabria,936
2021,Castellón/Castelló,980
2021,Ciudad Real,747
2021,Córdoba,1180
2021,"Coruña, A",1664
2021,Cuenca,221
2021,Gipuzkoa,1272
2021,Girona,1120
2021,Granada,1849
2021,Guadalajara,403
2021,Huelva,756
2021,Huesca,263
2021,Jaén,989
2021,León,625
2021,Lleida,748
2021,Lugo,390
2021,Madrid,8765
2021,Málaga,3185
2021,Murcia,2621
2021,Navarra,856
2021,Ourense,390
2021,Palencia,206
2021,"Palmas, Las",2403
2021,Pontevedra,1321
2021,"Rioja, La",561
2021,Salamanca,394
2021,Santa Cruz de Tenerife,1830
2021,Segovia,201
2021,Sevilla,3221
2021,Soria,136
2021,Tarragona,1591
2021,Teruel,110
2021,Toledo,601
2021,Valencia/València,4950
2021,Valladolid,752
2021,Zamora,215
2021,Zaragoza,1505
2021,Ceuta,278
2021,Melilla,275
