Fecha,Lugar,III. TOTAL INFRACCIONES PENALES
2017,Total Nacional,231083
2017,Albacete,1747
2017,Alicante/Alacant,11101
2017,Almería,4058
2017,Araba/Álava,1686
2017,Asturias,5064
2017,Ávila,556
2017,Badajoz,2901
2017,"Balears, Illes",6752
2017,Barcelona,25104
2017,Bizkaia,4683
2017,Burgos,1438
2017,Cáceres,1622
2017,Cádiz,7741
2017,Cantabria,2733
2017,Castellón/Castelló,3505
2017,Ciudad Real,2095
2017,Córdoba,3231
2017,"Coruña, A",4864
2017,Cuenca,716
2017,Gipuzkoa,2569
2017,Girona,3602
2017,Granada,5086
2017,Guadalajara,952
2017,Huelva,3001
2017,Huesca,849
2017,Jaén,2898
2017,León,2040
2017,Lleida,2057
2017,Lugo,962
2017,Madrid,32199
2017,Málaga,9381
2017,Murcia,7993
2017,Navarra,2815
2017,Ourense,1182
2017,Palencia,591
2017,"Palmas, Las",6612
2017,Pontevedra,4170
2017,"Rioja, La",1559
2017,Salamanca,1216
2017,Santa Cruz de Tenerife,6282
2017,Segovia,624
2017,Sevilla,9922
2017,Soria,243
2017,Tarragona,4200
2017,Teruel,429
2017,Toledo,2228
2017,Valencia/València,14316
2017,Valladolid,2200
2017,Zamora,616
2017,Zaragoza,3953
2017,Ceuta,1467
2017,Melilla,1272
