Fecha,Lugar,III. TOTAL INFRACCIONES PENALES
2018,Total Nacional,71396
2018,Albacete,497
2018,Alicante/Alacant,3832
2018,Almería,1339
2018,Araba/Álava,680
2018,Asturias,1608
2018,Ávila,174
2018,Badajoz,763
2018,"Balears, Illes",2097
2018,Barcelona,8671
2018,Bizkaia,1716
2018,Burgos,457
2018,Cáceres,471
2018,Cádiz,2478
2018,Cantabria,850
2018,Castellón/Castelló,981
2018,Ciudad Real,682
2018,Córdoba,1039
2018,"Coruña, A",1276
2018,Cuenca,148
2018,Gipuzkoa,997
2018,Girona,1133
2018,Granada,1462
2018,Guadalajara,248
2018,Huelva,819
2018,Huesca,238
2018,Jaén,1090
2018,León,538
2018,Lleida,707
2018,Lugo,310
2018,Madrid,9223
2018,Málaga,2639
2018,Murcia,2326
2018,Navarra,839
2018,Ourense,314
2018,Palencia,157
2018,"Palmas, Las",1902
2018,Pontevedra,983
2018,"Rioja, La",467
2018,Salamanca,368
2018,Santa Cruz de Tenerife,1707
2018,Segovia,159
2018,Sevilla,3203
2018,Soria,97
2018,Tarragona,1430
2018,Teruel,81
2018,Toledo,434
2018,Valencia/València,4892
2018,Valladolid,745
2018,Zamora,186
2018,Zaragoza,1297
2018,Ceuta,357
2018,Melilla,289
