Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,4.-Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6.-Robos con violencia e intimidación,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8.-Hurtos,9.-Sustracciones de vehículos,10.-Tráfico de drogas,III. TOTAL INFRACCIONES PENALES
2017,Provincia de PALENCIA,0,0,48,0,29,4,25,44,223,131,957,15,25,4026
2017,34120 Palencia,0,0,23,0,18,3,15,32,89,65,580,9,7,1981
2017,Provincia de SALAMANCA,3,2,55,0,55,4,51,138,634,402,3577,105,61,9865
2017,37274 Salamanca,3,0,14,0,27,2,25,116,344,237,2691,78,27,5853
2017,Provincia de SEGOVIA,1,0,37,0,36,1,35,21,350,246,918,27,27,4176
2017,40194 Segovia,0,0,7,0,15,0,15,8,62,40,492,11,4,1567
2017,Provincia de SORIA,0,0,32,0,13,3,10,16,191,117,586,20,11,2334
2017,42173 Soria,0,0,16,0,7,2,5,9,66,41,340,12,9,1240
2017,Provincia de VALLADOLID,5,6,138,0,60,7,53,115,1127,631,5356,127,29,16434
2017,47186 Valladolid,2,6,74,0,37,3,34,92,564,328,3640,78,15,9183
2017,Provincia de ZAMORA,1,2,29,1,24,4,20,41,391,209,1219,48,33,4557
2017,49275 Zamora,1,0,11,0,11,1,10,28,94,47,630,20,14,1857
2017,CASTILLA - LA MANCHA,12,34,573,2,371,34,337,1026,7769,5500,15200,1105,426,64006
2017,Provincia de ALBACETE,2,9,134,1,60,4,56,195,1039,703,4055,122,80,11786
2017,02003 Albacete,1,2,48,0,33,2,31,129,404,277,2671,66,27,5882
2017,02037 Hellín,0,1,20,0,2,1,1,18,82,53,235,6,5,914
2017,Provincia de CIUDAD REAL,6,4,110,0,68,7,61,147,1053,615,3222,133,96,12335
2017,13005 Alcázar de San Juan,0,0,5,0,4,0,4,5,36,20,176,11,2,643
2017,13034 Ciudad Real,0,1,19,0,19,1,18,62,248,93,972,46,6,2626
2017,13071 Puertollano,0,0,11,0,6,0,6,27,70,40,337,14,13,1261
2017,13082 Tomelloso,0,0,12,0,2,0,2,10,61,48,284,6,4,1050
2017,13087 Valdepeñas,0,0,8,0,6,2,4,9,58,32,250,5,3,869
2017,Provincia de CUENCA,0,1,56,0,42,4,38,62,639,416,1256,71,34,5723
2017,16078 Cuenca,0,0,11,0,14,2,12,31,183,127,528,25,4,1815
2017,Provincia de GUADALAJARA,0,3,86,0,60,7,53,182,969,743,1803,189,37,8662
2017,19046 Azuqueca de Henares,0,0,14,0,7,3,4,40,69,40,241,34,2,1209
2017,19130 Guadalajara,0,0,32,0,21,1,20,95,217,147,989,67,4,3054
2017,Provincia de TOLEDO,4,17,187,1,141,12,129,440,4069,3023,4864,590,179,25500
2017,45165 Talavera de la Reina,0,0,32,0,13,3,10,60,191,112,798,42,30,2442
2017,45168 Toledo,0,2,29,0,32,1,31,45,327,206,1071,80,16,3425
2017,CATALUÑA,65,144,3686,10,2212,394,1818,20615,31199,23317,173684,8855,2269,422286
2017,Provincia de BARCELONA,49,108,2796,7,1627,294,1333,18374,21531,15989,146663,7709,1436,327845
2017,08015 Badalona,0,9,0,0,59,11,48,1263,557,409,3448,288,41,11442
2017,08252 Barberà del Vallès,0,1,0,0,12,3,9,53,163,128,480,21,4,1496
2017,08019 Barcelona,28,28,9,3,645,118,527,10285,7790,5362,93469,4661,478,165633
2017,08056 Castelldefels,0,0,0,0,18,6,12,134,300,263,947,53,7,3170
2017,08266 Cerdanyola del Vallès,0,0,1,0,19,5,14,54,218,192,440,30,12,1808
2017,08073 Cornellà de Llobregat,0,1,0,0,27,5,22,340,282,170,1561,86,21,5005
2017,08077 Esplugues de Llobregat,0,1,0,0,6,1,5,156,207,157,584,68,3,2117
2017,08089 Gavà,0,0,0,0,5,0,5,88,128,78,545,50,4,2183
2017,08096 Granollers,0,3,0,0,25,7,18,144,269,161,760,73,5,2835
2017,08101 Hospitalet de Llobregat (L'),0,8,4,0,78,16,62,1252,848,593,6385,346,81,15648
2017,08102 Igualada,0,0,2,0,12,5,7,51,123,75,468,18,7,1659
2017,08113 Manresa,0,0,0,0,23,8,15,129,266,156,800,44,26,3197
2017,08121 Mataró,1,2,0,0,40,11,29,511,262,157,2125,114,22,6508
2017,08124 Mollet del Vallès,0,1,0,0,10,1,9,87,136,95,704,44,19,2285
2017,08125 Montcada i Reixac,0,1,0,0,10,0,10,90,159,110,357,61,5,2012
2017,08169 Prat de Llobregat (El),2,0,0,0,17,4,13,153,112,62,4593,183,117,7832
2017,08180 Ripollet,0,0,0,0,6,2,4,39,83,64,251,28,5,1104
2017,08184 Rubí,1,3,0,0,17,1,16,98,290,214,688,75,16,3100
2017,08187 Sabadell,1,8,2,0,68,13,55,442,643,468,2119,105,49,7765
2017,08194 Sant Adrià de Besòs,1,1,0,0,14,6,8,288,101,48,1001,70,27,3169
2017,08200 Sant Boi de Llobregat,0,2,0,0,15,5,10,132,191,112,1018,61,10,3524
