Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,4.-Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6.-Robos con violencia e intimidación,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8.-Hurtos,9.-Sustracciones de vehículos,10.-Tráfico de drogas,III. TOTAL INFRACCIONES PENALES
2016,ANDALUCÍA,68,227,2911,16,1837,185,1652,7431,26332,18367,109491,8835,3143,331836
2016,Provincia de ALMERÍA,6,17,367,0,178,24,154,692,3375,2738,8004,659,235,30617
2016,04013 Almería,0,9,126,0,43,4,39,296,595,442,2711,290,68,8911
2016,04902 Ejido (El),2,2,50,0,23,3,20,86,373,295,873,55,21,3732
2016,04079 Roquetas de Mar,0,1,70,0,34,7,27,161,708,596,1862,109,38,6193
2016,Provincia de CÁDIZ,10,34,493,8,300,31,269,889,3046,2109,16280,1681,750,50000
2016,11004 Algeciras,3,8,62,2,34,9,25,111,233,172,1277,136,339,4954
2016,11006 Arcos de la Frontera,0,0,9,0,5,0,5,8,63,44,160,26,5,714
2016,11012 Cádiz,1,4,52,0,46,2,44,81,140,49,2435,272,38,5530
2016,11015 Chiclana de la Frontera,1,0,31,0,11,2,9,41,512,436,816,95,16,3247
2016,11020 Jerez de la Frontera,1,5,70,0,65,9,56,256,426,246,3678,250,39,9787
2016,11022 Línea de la Concepción (La),1,3,46,2,21,2,19,58,92,68,581,125,68,2603
2016,11027 Puerto de Santa María (El),1,2,36,0,21,0,21,64,164,87,1417,111,31,4024
2016,11028 Puerto Real,0,1,13,0,12,0,12,15,116,89,456,49,1,1554
2016,11031 San Fernando,0,0,13,0,20,2,18,40,148,80,1257,170,15,3425
2016,11032 Sanlúcar de Barrameda,1,1,21,0,10,1,9,66,216,120,961,125,16,2588
2016,Provincia de CÓRDOBA,1,28,170,1,114,9,105,494,1705,1189,7700,425,171,23891
2016,14021 Córdoba,0,9,57,1,67,4,63,387,612,430,5336,269,102,14017
2016,14038 Lucena,0,2,17,0,3,0,3,19,85,50,356,23,9,1370
2016,14056 Puente Genil,0,2,5,0,3,1,2,10,113,91,254,27,5,952
2016,Provincia de GRANADA,7,14,297,1,183,26,157,712,3050,2229,10303,901,516,32311
2016,18087 Granada,2,4,98,1,62,12,50,408,721,463,5575,353,110,12784
2016,18140 Motril,0,0,21,0,25,6,19,55,271,184,656,67,32,2388
2016,Provincia de HUELVA,8,6,195,1,98,13,85,309,2072,1503,5771,364,136,19865
2016,21041 Huelva,2,3,48,0,28,1,27,154,242,126,2860,75,43,7022
2016,Provincia de JAÉN,1,15,144,1,91,3,88,318,1465,977,4334,395,101,16593
