Fecha,Lugar,III. TOTAL INFRACCIONES PENALES
2023,Total Nacional,75549
2023,Albacete,404
2023,Alicante/Alacant,3921
2023,Almería,1430
2023,Araba/Álava,734
2023,Asturias,1342
2023,Ávila,159
2023,Badajoz,765
2023,"Balears, Illes",2510
2023,Barcelona,9997
2023,Bizkaia,1985
2023,Burgos,550
2023,Cáceres,757
2023,Cádiz,2559
2023,Cantabria,921
2023,Castellón/Castelló,1201
2023,Ciudad Real,783
2023,Córdoba,1066
2023,"Coruña, A",1467
2023,Cuenca,146
2023,Gipuzkoa,1188
2023,Girona,1281
2023,Granada,1770
2023,Guadalajara,314
2023,Huelva,761
2023,Huesca,276
2023,Jaén,912
2023,León,576
2023,Lleida,783
2023,Lugo,339
2023,Madrid,8376
2023,Málaga,2903
2023,Murcia,2465
2023,Navarra,785
2023,Ourense,268
2023,Palencia,237
2023,"Palmas, Las",2334
2023,Pontevedra,1264
2023,"Rioja, La",469
2023,Salamanca,330
2023,Santa Cruz de Tenerife,1672
2023,Segovia,159
2023,Sevilla,2916
2023,Soria,148
2023,Tarragona,1587
2023,Teruel,117
2023,Toledo,603
2023,Valencia/València,5099
2023,Valladolid,674
2023,Zamora,120
2023,Zaragoza,1577
2023,Ceuta,267
2023,Melilla,282
