Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,8.-Hurtos,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,6.-Robos con violencia e intimidación,9.-Sustracciones de vehículos,10.-Tráfico de drogas,III. TOTAL INFRACCIONES PENALES
2020,Total Nacional,1225,377,32334,7991,1860,49103,25748,8563,14160,3309,22771,415060
2020,Araba/Álava,2,1,38,38,10,29,72,15,43,6,68,853
2020,Albacete,4,2,296,61,6,404,201,100,58,6,93,3262
2020,Alicante/Alacant,40,14,1173,440,117,1725,1525,696,650,220,1397,20058
2020,Almería,33,14,1197,209,41,534,446,204,212,58,642,9661
2020,Ávila,5,2,128,21,9,52,74,21,9,10,83,1132
2020,Badajoz,28,9,517,83,14,465,358,125,98,19,321,4915
2020,Balears (Illes),37,7,827,285,54,850,857,334,405,119,621,12922
2020,Barcelona,85,28,4791,871,234,11690,2726,818,1680,453,1824,55556
2020,Burgos,5,1,258,43,13,83,151,56,67,8,94,2476
2020,Cáceres,5,3,367,45,10,151,135,44,37,6,224,2757
2020,Cádiz,52,12,809,185,38,745,639,196,313,153,1460,12118
2020,Castellón/Castelló,11,4,409,109,14,303,315,134,106,50,183,4410
2020,Ciudad Real,6,3,384,87,14,308,322,116,93,33,220,4506
2020,Córdoba,17,1,594,121,23,365,368,154,136,24,364,5985
2020,Coruña (A),13,1,438,146,38,774,349,77,149,28,273,6635
2020,Cuenca,4,0,152,27,8,73,74,23,28,10,96,1450
2020,Girona,17,6,848,123,35,795,405,174,189,71,390,8630
2020,Granada,44,12,552,150,31,773,611,165,276,64,987,9082
2020,Guadalajara,3,1,246,57,12,130,154,50,47,15,76,2352
2020,Gipuzkoa,9,5,89,57,11,56,236,46,85,11,137,1927
2020,Huelva,14,10,787,86,17,663,393,155,136,35,324,6150
2020,Huesca,8,1,162,36,4,96,112,33,31,7,94,1755
2020,Jaén,27,9,467,79,14,307,297,122,113,24,309,4704
2020,León,19,15,235,36,5,158,166,42,42,17,129,2578
2020,Lleida,8,0,417,50,13,501,164,73,48,31,131,4370
2020,Rioja (La),4,3,374,90,12,347,125,52,60,8,129,2625
2020,Lugo,4,1,211,47,12,156,139,34,52,9,96,2156
2020,Madrid,162,58,2937,1167,329,13682,3769,1022,3661,626,2770,65786
2020,Málaga,81,28,1486,336,78,2349,1282,397,645,227,1626,19921
2020,Murcia,52,13,1492,337,70,890,1055,486,535,114,703,14474
2020,Navarra,16,3,238,153,36,190,239,55,104,16,234,3954
2020,Ourense,6,1,253,32,7,115,172,42,48,13,88,2399
2020,Asturias,15,7,766,145,39,664,448,110,182,46,226,7015
2020,Palencia,3,2,81,27,4,57,46,15,32,4,68,989
2020,Palmas (Las),27,3,1293,321,75,839,741,252,405,115,416,12133
2020,Pontevedra,16,2,431,127,39,301,388,116,168,29,455,5463
2020,Salamanca,8,4,140,27,5,313,113,48,48,2,88,1927
2020,Santa Cruz de Tenerife,28,7,1116,218,55,934,548,165,293,89,381,10482
2020,Cantabria,4,1,414,62,12,479,222,80,108,21,174,4111
2020,Segovia,6,0,126,17,2,55,43,8,6,8,67,1166
2020,Sevilla,85,22,1004,332,47,806,1500,376,600,177,1422,15044
2020,Soria,1,0,68,9,0,32,39,11,7,3,32,617
2020,Tarragona,12,1,833,149,34,795,509,243,163,71,377,9080
2020,Teruel,3,1,91,27,4,32,38,20,7,8,45,825
2020,Toledo,28,10,524,86,10,322,419,185,133,28,386,6162
2020,Valencia/València,72,27,1083,481,106,2356,1409,526,866,134,1369,21193
2020,Valladolid,14,9,262,68,12,284,187,32,81,15,160,2912
2020,Bizkaia,33,8,121,69,27,155,286,62,147,17,133,2616
2020,Zamora,8,0,48,9,2,56,50,17,8,7,57,1000
2020,Zaragoza,30,2,521,161,49,700,621,204,362,23,336,7296
2020,Ceuta,8,3,41,28,3,53,83,12,74,8,231,1376
2020,Melilla,3,0,199,21,6,111,127,20,314,13,162,2094
