Fecha,Trimestre,Lugar,1. Homicidios dolosos y asesinatos consumados,2. Homicidios dolosos y asesinatos en grado tentativa,3. Delitos graves y menos graves de lesiones y riña tumultuaria,4. Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6.-Robos con violencia e intimidación,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8. Hurtos,9. Sustracciones de vehículos,10. Tráfico de drogas,11. Resto de criminalidad convencional,III. TOTAL INFRACCIONES PENALES
2018-03-31,T1,ANDALUCÍA,0.00190830408062203,0.00381660816124406,0.0776441222803089,0.000834883035272138,0.0587996194841663,0.00477076020155508,0.0540288592826113,0.201206811500585,0.754972801896091,0.508085961465616,2.68832337357629,0.209794179863385,0.0995896192074622,5.35446271221534,9.45135303530076
2018-03-31,T1,Provincia de ALMERÍA,0.00422928355936504,0.00140976118645501,0.112780894916401,0,0.0592099698311106,0.00140976118645501,0.0578002086446556,0.163532297628782,0.95863760678941,0.731666055770153,2.27112527137903,0.150844446950687,0.104322327797671,5.71517184988863,9.54126370992754
2018-03-31,T1,04013 Almería,0.00507998435364819,0,0.126999608841205,0,0.0761997653047229,0,0.0761997653047229,0.289559108157947,0.675637919035209,0.472438544889282,3.05815058089621,0.243839248975113,0.152399530609446,5.7657822413907,10.3936479875642
2018-03-31,T1,04902 Ejido (El),0.0118049817022784,0,0.188879707236454,0,0.0708298902136702,0,0.0708298902136702,0.188879707236454,1.28674300554834,0.873568645968599,2.39641128556251,0.118049817022784,0.212489670641011,6.72883957029867,11.2029276354622
2018-03-31,T1,04066 Níjar,0.0331983268043291,0,0.132793307217316,0,0.0331983268043291,0,0.0331983268043291,0.199189960825974,0.796759843303898,0.597569882477923,1.5935196866078,0.0331983268043291,0.0995949804129872,6.27448376601819,9.19593652479915
2018-03-31,T1,04079 Roquetas de Mar,0,0,0.0842770608375033,0,0.0737424282328154,0.0105346326046879,0.0632077956281275,0.221227284698446,1.12720568870161,0.884909138793785,4.34026863313142,0.231761917303134,0.0842770608375033,8.72267579668159,14.885435870424
2018-03-31,T1,Provincia de CÁDIZ,0.0016145776991299,0.00807288849564952,0.106562128142574,0.00322915539825981,0.0532810640712868,0.00322915539825981,0.050051908673027,0.17437439150603,0.693461121776294,0.432706823366814,2.52197036604091,0.3455196276138,0.176796258054725,5.57432950624599,9.65921108504465
2018-03-31,T1,11004 Algeciras,0,0.0247088474146309,0.131780519544698,0.0247088474146309,0.0494176948292619,0,0.0494176948292619,0.345923863804833,0.444759253463357,0.312978733918659,2.29792280956068,0.461231818406444,0.658902597723492,5.6418534930074,10.0812097451694
2018-03-31,T1,11006 Arcos de la Frontera,0,0,0.0975895384014834,0,0.130119384535311,0,0.130119384535311,0.162649230669139,0.715656614944211,0.29276861520445,0.780716307211867,0.0975895384014834,0.0975895384014834,4.55417845873589,6.63608861130087
2018-03-31,T1,11012 Cádiz,0,0,0.153873772215526,0,0.0683883432069004,0.00854854290086255,0.0598398003060378,0.188067943818976,0.658237803366416,0.230810658323289,4.38540250814249,0.769368861077629,0.136776686413801,5.47106745655203,11.8311833747938
2018-03-31,T1,11015 Chiclana de la Frontera,0,0,0.0238575228734001,0,0.0477150457468001,0,0.0477150457468001,0.1431451372404,0.882728346315802,0.727654447638702,1.5388102253343,0.274361513044101,0.0477150457468001,4.93850723479381,7.89684007109542
2018-03-31,T1,11020 Jerez de la Frontera,0,0,0.0704625632401505,0.00469750421601003,0.0704625632401505,0,0.0704625632401505,0.206690185504442,0.850248263097816,0.432170387872923,3.53722067465556,0.361707824632773,0.0281850252960602,6.73152354154238,11.8611981454253
2018-03-31,T1,11022 Línea de la Concepción (La),0,0.0635525897680331,0.301874801398157,0,0.0476644423260248,0.0158881474420083,0.0317762948840165,0.349539243724182,0.27009850651414,0.111217032094058,2.22434064188116,0.254210359072132,0.397203686050207,8.24594852240229,12.1544327931363
2018-03-31,T1,11027 Puerto de Santa María (El),0,0.0226336517133674,0.0452673034267349,0,0.0339504775700512,0.0113168258566837,0.0226336517133674,0.147118736136888,0.79217780996786,0.373455253270563,3.34978045357838,0.407405730840614,0.113168258566837,5.68104658005523,10.592549001856
2018-03-31,T1,11028 Puerto Real,0,0,0.0240096038415366,0,0.0240096038415366,0,0.0240096038415366,0.0240096038415366,0.912364945978391,0.840336134453782,2.28091236494598,0.192076830732293,0,5.45018007202881,8.90756302521008
2018-03-31,T1,11031 San Fernando,0,0,0.0210141425179146,0,0.11557778384853,0.0105070712589573,0.105070712589573,0.168113140143316,0.483325277912035,0.283690923991847,2.80538802614159,0.546367705465778,0.0210141425179146,5.12745077437115,9.28825099291823
2018-03-31,T1,11033 San Roque,0,0,0.0328170123391966,0,0,0,0,0.0656340246783933,0.984510370175899,0.656340246783933,2.06747177736939,0.164085061695983,0.39380414807036,8.33552113415595,12.0438435284852
2018-03-31,T1,11032 Sanlúcar de Barrameda,0,0,0.0587915398974088,0,0,0,0,0.205770389640931,0.808383673589371,0.60261328394844,2.48394256066552,0.587915398974088,0.176374619692226,5.6880814850743,10.0092596675338
2018-03-31,T1,Provincia de CÓRDOBA,0,0.00382048800366767,0.045845856044012,0.00127349600122256,0.045845856044012,0.00127349600122256,0.0445723600427895,0.213947328205389,0.570526208547705,0.361672864347206,2.30248077021038,0.141358056135704,0.0369313840354541,4.91060058071418,8.27263002394173
