Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,8.-Hurtos,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,6.-Robos con violencia e intimidación,9.-Sustracciones de vehículos,10.-Tráfico de drogas,III. TOTAL INFRACCIONES PENALES
2018,Total Nacional,1204,340,31812,8288,1829,59652,30314,8662,15491,3424,20350,394824
2018,Araba/Álava,11,2,37,33,4,30,63,26,41,5,54,678
2018,Albacete,9,3,356,82,15,562,323,122,107,13,116,3694
2018,Alicante/Alacant,46,21,1374,485,104,2379,1726,788,660,223,1135,20560
2018,Almería,25,17,1289,156,22,943,458,189,231,54,496,9627
2018,Ávila,2,1,151,24,6,48,80,35,31,11,57,1188
2018,Badajoz,17,10,630,100,19,694,440,173,98,24,237,4970
2018,Balears (Illes),51,17,958,323,72,1443,926,377,413,142,697,13903
2018,Barcelona,137,0,790,770,305,5339,3717,5,2956,295,1732,26666
2018,Burgos,8,5,286,57,10,158,156,72,78,9,106,2510
2018,Cáceres,4,2,488,53,9,204,168,52,43,3,186,3025
2018,Cádiz,61,10,1168,204,31,1235,919,240,342,231,1063,13387
2018,Castellón/Castelló,12,5,500,118,12,422,407,153,122,53,184,5054
2018,Ciudad Real,4,0,571,74,9,618,390,139,103,26,241,5271
2018,Córdoba,13,5,656,110,13,657,569,196,172,27,279,6255
2018,Coruña (A),15,3,498,134,26,1044,495,146,158,36,285,7310
2018,Cuenca,12,2,202,32,10,95,107,44,23,8,43,1605
2018,Girona,20,0,153,152,58,317,734,0,288,48,425,3844
2018,Granada,32,19,635,191,27,1255,645,258,316,67,876,9184
2018,Guadalajara,2,1,300,56,11,171,127,49,58,26,67,2309
2018,Gipuzkoa,9,1,77,65,16,78,203,43,114,18,128,1787
2018,Huelva,11,2,730,95,11,1031,384,140,138,33,247,6108
2018,Huesca,2,1,236,33,6,140,78,19,22,3,98,1748
2018,Jaén,23,4,502,97,21,597,379,132,109,26,274,4779
2018,León,9,1,428,61,9,267,249,71,83,23,111,3200
2018,Lleida,12,0,51,55,23,86,319,3,128,11,87,1521
2018,Rioja (La),2,0,416,51,10,564,141,45,44,18,137,2971
2018,Lugo,2,1,271,37,6,247,115,32,85,5,127,2389
2018,Madrid,157,58,3622,1195,288,19523,3586,991,2958,636,2304,67571
2018,Málaga,108,34,2099,388,68,3401,1332,506,659,299,1721,23117
2018,Murcia,43,20,1751,385,59,1364,1295,574,512,151,613,15079
2018,Navarra,15,2,256,151,41,450,288,97,68,24,175,4336
2018,Ourense,8,2,286,51,10,119,135,49,51,8,66,2353
2018,Asturias,18,10,980,143,23,1214,522,169,168,49,210,7802
2018,Palencia,1,0,128,29,4,136,74,21,15,4,48,1196
2018,Palmas (Las),35,17,1600,332,74,1373,922,278,410,96,576,13403
2018,Pontevedra,5,2,532,152,30,604,552,173,187,51,394,6481
2018,Salamanca,8,3,261,52,9,497,127,46,63,6,86,2375
2018,Santa Cruz de Tenerife,30,10,1288,207,43,1519,861,355,325,82,343,10888
2018,Cantabria,5,0,380,71,10,558,278,101,77,30,159,3981
2018,Segovia,2,0,106,16,1,84,86,16,14,1,29,1124
2018,Sevilla,64,14,1073,356,70,1122,1612,438,584,137,891,14742
2018,Soria,0,0,110,7,1,46,56,14,5,2,22,659
2018,Tarragona,23,0,157,140,40,294,759,2,253,42,359,4034
2018,Teruel,2,0,101,8,1,53,43,18,7,7,52,853
2018,Toledo,13,6,676,108,21,496,532,231,156,42,327,6171
2018,Valencia/València,64,6,1357,482,89,4050,1609,662,908,188,1472,24322
2018,Valladolid,9,7,298,65,14,415,251,79,113,17,164,3276
2018,Bizkaia,20,6,127,67,21,166,262,82,226,23,110,2200
2018,Zamora,8,2,61,29,7,70,47,17,18,6,113,1074
2018,Zaragoza,8,6,562,159,32,1074,433,137,397,37,368,7447
2018,Ceuta,5,2,49,27,4,165,80,19,63,26,190,2205
2018,Melilla,2,0,199,20,4,235,254,38,291,22,70,2592
