Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,8.-Hurtos,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,6.-Robos con violencia e intimidación,9.-Sustracciones de vehículos,10.-Tráfico de drogas,III. TOTAL INFRACCIONES PENALES,
2023,Total Nacional,1631,399,45598,13767,3160,89492,30866,8722,20790,3948,26205,556793,453222
2023,Araba/Álava,6,1,69,25,4,58,81,13,41,7,84,1045,827
2023,Albacete,12,6,430,105,23,723,279,83,135,30,188,4343,3571
2023,Alicante/Alacant,73,17,1753,772,186,3355,1840,714,1184,243,1776,27197,21578
2023,Almería,35,8,1575,270,53,1230,488,173,269,92,586,11825,10188
2023,Ávila,7,3,223,32,10,117,100,38,17,3,60,1571,1251
2023,Badajoz,13,2,684,148,20,681,409,131,125,23,348,5611,5134
2023,Balears (Illes),47,11,1319,684,129,1588,905,333,627,145,1045,18814,14866
2023,Barcelona,113,31,6545,2026,539,24189,3532,779,2978,524,2871,81900,61538
2023,Burgos,4,1,351,72,22,168,147,39,86,12,97,3190,2705
2023,Cáceres,6,2,564,63,9,254,197,60,67,14,126,3655,2928
2023,Cádiz,71,18,1167,317,60,1059,873,240,391,150,1114,14129,12751
2023,Castellón/Castelló,30,8,594,185,27,419,435,142,197,52,215,6333,5421
2023,Ciudad Real,20,6,624,118,20,447,434,146,148,31,285,5802,4964
2023,Córdoba,21,3,815,168,34,741,476,120,178,19,239,7849,5850
2023,Coruña (A),28,15,670,220,53,1175,429,107,202,35,219,8254,7168
2023,Cuenca,6,4,267,39,6,118,134,37,28,9,67,2001,1852
2023,Girona,5,2,1199,292,92,1868,547,180,257,101,489,12229,10030
2023,Granada,51,15,828,224,42,1437,747,266,301,64,1244,11984,10037
2023,Guadalajara,11,6,285,69,14,130,87,17,73,18,86,2309,2409
2023,Gipuzkoa,22,6,248,100,24,183,249,48,179,9,134,2779,2487
2023,Huelva,10,4,950,118,25,1135,403,126,136,36,243,7198,5696
2023,Huesca,8,1,302,71,8,176,147,35,47,12,118,2527,1790
2023,Jaén,22,4,613,114,22,596,471,141,117,25,246,5819,5079
2023,León,15,2,346,84,22,193,221,61,72,15,76,3243,2820
2023,Lleida,8,3,572,172,54,1115,220,89,82,36,131,6322,5079
2023,Rioja (La),13,5,459,107,18,595,157,63,84,20,162,3729,3135
2023,Lugo,11,0,338,72,22,235,122,31,40,7,90,2619,2246
2023,Madrid,245,50,4367,1998,519,22738,4372,964,4969,648,4087,94139,73429
2023,Málaga,83,18,1723,560,124,3668,1278,438,910,285,1703,24287,21206
2023,Murcia,106,19,2338,518,84,1819,1441,460,922,180,1078,20819,15844
2023,Navarra,30,7,354,250,57,633,281,71,206,15,170,5474,4591
2023,Ourense,5,1,427,70,15,152,140,31,68,14,42,2761,2381
2023,Asturias,20,7,1082,250,57,1756,524,154,258,76,223,9831,7864
2023,Palencia,4,0,135,20,2,88,57,12,32,11,104,1506,1069
2023,Palmas (Las),43,12,1496,400,88,1114,734,212,521,147,502,13804,12881
2023,Pontevedra,30,3,510,193,48,489,477,149,180,43,342,6706,5846
2023,Salamanca,4,2,202,72,13,731,159,40,51,7,79,2553,2118
2023,Santa Cruz de Tenerife,49,21,1148,310,62,1015,521,156,458,121,507,12089,10546
2023,Cantabria,9,0,722,116,26,731,236,70,105,27,182,5717,4795
2023,Segovia,1,0,150,36,8,93,56,18,38,7,57,1603,1385
2023,Sevilla,82,13,1901,420,86,1665,1878,369,772,179,1056,18119,15764
2023,Soria,2,0,103,25,6,55,46,6,17,2,36,922,737
2023,Tarragona,25,14,1183,357,108,1733,620,216,276,106,452,12440,10014
2023,Teruel,5,5,149,35,8,55,48,9,10,1,40,1085,956
2023,Toledo,16,3,562,167,27,588,473,128,149,70,337,7248,6604
2023,Valencia/València,107,21,1721,766,150,4890,2182,635,1605,183,1736,30811,24082
2023,Valladolid,16,1,344,111,33,354,193,50,153,21,117,3670,3347
2023,Bizkaia,23,6,204,109,34,253,298,92,320,14,160,3464,2659
2023,Zamora,2,1,99,32,2,66,72,29,14,10,73,1363,1146
2023,Zaragoza,38,6,691,220,51,697,494,166,529,25,569,9281,7578
2023,Ceuta,15,5,46,35,11,36,59,9,67,11,112,1107,1291
2023,Melilla,3,0,151,30,3,88,97,26,99,13,102,1717,1689
