Fecha,Lugar,I. CRIMINALIDAD CONVENCIONAL,1. Homicidios dolosos y asesinatos consumados,2. Homicidios dolosos y asesinatos en grado tentativa,3. Delitos graves y menos graves de lesiones y riña tumultuaria,4. Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6. Robos con violencia e intimidación,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8. Hurtos,9. Sustracciones de vehículos,10. Tráfico de drogas,11. Resto de criminalidad convencional,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),12.-Estafas informáticas,13.-Otros ciberdelitos,III. TOTAL INFRACCIONES PENALES
2022,23002 Alcalá la Real,564,1,0,19,0,5,1,4,2,53,47,91,2,2,389,132,115,17,696
2022,23005 Andújar,962,1,1,8,0,4,1,3,10,37,17,238,6,8,649,172,155,17,1134
2022,23050 Jaén,3777,2,5,48,0,33,4,29,110,223,160,1078,88,37,2153,1030,874,156,4807
2022,23055 Linares,1270,0,3,15,0,11,1,10,26,84,56,314,22,32,763,376,308,68,1646
2022,23060 Martos,597,0,0,7,0,8,2,6,9,54,43,105,1,6,407,125,107,18,722
2022,23092 Úbeda,854,0,1,10,0,4,0,4,16,68,50,266,3,7,479,200,174,26,1054
2022,Provincia de MÁLAGA,79927,17,63,1115,12,628,122,506,1742,4514,3348,25167,1742,1102,43825,11863,10230,1633,91790
2022,29007 Alhaurín de la Torre,1120,0,0,13,0,10,1,9,17,77,68,173,20,11,799,360,301,59,1480
2022,29008 Alhaurín el Grande,720,0,0,16,0,8,1,7,8,69,64,101,5,9,504,130,111,19,850
2022,29015 Antequera,1228,0,0,9,0,10,2,8,20,77,52,344,14,9,745,300,255,45,1528
2022,29025 Benalmádena,3439,1,1,54,1,26,11,15,62,157,114,1007,67,61,2002,680,593,87,4119
2022,29038 Cártama,988,0,1,25,0,8,2,6,12,60,54,139,10,7,726,179,153,26,1167
2022,29042 Coín,730,0,0,13,0,11,3,8,13,67,53,120,13,7,486,125,96,29,855
2022,29051 Estepona,3560,1,6,49,0,34,10,24,71,291,247,852,67,72,2117,489,410,79,4049
2022,29054 Fuengirola,5390,0,3,86,0,56,6,50,151,230,152,2403,138,78,2245,460,410,50,5850
2022,29067 Málaga,28203,9,25,357,0,235,45,190,686,1139,736,10456,664,376,14256,3645,3108,537,31848
2022,29069 Marbella,12753,2,13,150,7,67,16,51,298,840,597,3900,329,151,6996,916,711,205,13669
2022,29070 Mijas,4211,0,4,48,2,29,5,24,102,312,274,1006,103,66,2539,845,770,75,5056
2022,29075 Nerja,969,0,0,32,0,4,1,3,30,61,55,348,9,6,479,175,149,26,1144
2022,29082 Rincón de la Victoria,1222,0,3,12,0,10,1,9,16,85,63,255,19,12,810,365,334,31,1587
2022,29084 Ronda,1133,0,0,11,0,5,0,5,22,77,40,405,7,17,589,319,298,21,1452
2022,29901 Torremolinos,4380,1,1,65,1,25,5,20,88,139,74,1515,79,92,2374,701,612,89,5081
2022,29094 Vélez-Málaga,3314,1,1,40,1,25,3,22,71,215,153,949,115,36,1860,719,660,59,4033
2022,Provincia de SEVILLA,79518,12,83,1172,5,554,110,444,2455,4437,2779,24400,1389,597,44414,14590,12850,1740,94108
2022,41004 Alcalá de Guadaíra,3031,1,5,19,0,28,5,23,53,234,145,840,70,57,1724,510,436,74,3541
2022,41017 Bormujos,543,0,0,8,1,9,0,9,12,67,40,126,2,5,313,84,61,23,627
2022,41021 Camas,1060,1,0,8,0,9,3,6,11,27,17,303,29,13,659,318,301,17,1378
2022,41024 Carmona,1142,0,1,33,0,4,1,3,13,174,129,174,5,7,731,125,105,20,1267
2022,41034 Coria del Río,1419,1,1,12,0,9,0,9,29,65,49,338,30,13,921,144,132,12,1563
2022,41038 Dos Hermanas,5149,2,7,61,0,31,5,26,106,284,187,1344,48,44,3222,1218,1080,138,6367
2022,41039 Écija,1108,0,3,21,0,7,4,3,19,74,51,279,20,6,679,181,162,19,1289
2022,41053 Lebrija,794,0,1,22,0,6,1,5,2,33,16,185,10,9,526,265,230,35,1059
2022,41058 Mairena del Alcor,501,0,0,22,0,3,1,2,3,58,38,79,3,4,329,66,63,3,567
2022,41059 Mairena del Aljarafe,1593,0,1,28,0,12,2,10,20,94,68,430,12,6,990,274,236,38,1867
2022,41065 Morón de la Frontera,694,0,1,8,0,6,2,4,12,51,45,136,10,12,458,144,133,11,838
2022,41069 Palacios y Villafranca (Los),1255,0,0,24,0,3,0,3,19,96,70,371,4,10,728,362,312,50,1617
2022,41081 Rinconada (La),1305,0,0,48,0,10,0,10,23,123,55,244,17,12,828,115,91,24,1420
2022,41086 San Juan de Aznalfarache,1223,0,1,8,0,14,1,13,22,33,30,499,18,18,610,146,141,5,1369
2022,41091 Sevilla,41700,5,37,338,3,301,59,242,1853,1560,820,16102,986,232,20283,7515,6757,758,49215
2022,41093 Tomares,455,0,0,3,0,1,0,1,8,51,31,147,2,2,241,114,99,15,569
2022,41095 Utrera,1655,0,0,42,0,9,1,8,19,129,76,456,3,13,984,499,417,82,2154
2022,ARAGÓN,38269,10,27,711,1,379,89,290,1195,2423,1493,10629,279,420,22195,9620,8732,888,47889
2022,Provincia de HUESCA,5793,0,2,138,0,74,18,56,80,347,241,1287,36,65,3764,1539,1389,150,7332
2022,22125 Huesca,1272,0,1,50,0,22,9,13,20,60,41,423,11,19,666,345,335,10,1617
2022,Provincia de TERUEL,2724,1,3,62,0,25,4,21,18,261,201,413,18,30,1893,854,775,79,3578
2022,44216 Teruel,651,1,2,22,0,8,1,7,9,42,32,131,3,7,426,158,142,16,809
2022,Provincia de ZARAGOZA,29752,9,22,511,1,280,67,213,1097,1815,1051,8929,225,325,16538,7227,6568,659,36979
2022,50297 Zaragoza,20823,5,18,319,0,211,61,150,1006,1090,612,7346,187,263,10378,4965,4544,421,25788
2022,ASTURIAS (PRINCIPADO DE),23533,6,16,454,1,238,46,192,392,1194,830,6810,239,170,14013,8560,7661,899,32093
2022,Provincia de ASTURIAS,23533,6,16,454,1,238,46,192,392,1194,830,6810,239,170,14013,8560,7661,899,32093
2022,33004 Avilés,1695,1,2,22,0,17,1,16,41,104,49,478,16,14,1000,560,519,41,2255
2022,33016 Castrillón,353,0,0,4,0,4,0,4,5,12,10,85,3,4,236,189,172,17,542
2022,33024 Gijón,6733,1,5,137,0,66,20,46,150,297,173,2404,73,44,3556,2466,2302,164,9199
2022,33031 Langreo,1135,1,0,18,0,8,1,7,29,56,40,184,4,10,825,318,272,46,1453
2022,33037 Mieres,976,0,0,28,0,6,3,3,26,45,31,234,19,9,609,290,241,49,1266
2022,33044 Oviedo,5195,1,4,110,0,60,6,54,92,255,199,1742,74,34,2823,2125,1895,230,7320
2022,33066 Siero,1550,0,0,18,0,10,4,6,19,106,68,521,19,5,852,370,321,49,1920
2022,BALEARS (ILLES),67281,3,36,1319,4,855,157,698,1272,2930,2174,24460,1564,627,34211,8701,7452,1249,75982
2022,Provincia de BALEARES,67281,3,36,1319,4,855,157,698,1272,2930,2174,24460,1564,627,34211,8701,7452,1249,75982
2022,07026 Eivissa,3759,0,2,55,0,41,11,30,99,173,96,1425,93,73,1798,565,528,37,4324
2022,07046 Sant Antoni de Portmany,2183,0,0,84,0,27,8,19,53,69,45,672,95,85,1098,169,136,33,2352
2022,07048 Sant Josep de sa Talaia,2827,1,2,62,0,35,8,27,41,156,124,1118,117,97,1198,200,178,22,3027
2022,07054 Santa Eulària des Riu,2002,0,0,49,0,29,6,23,25,118,86,571,74,22,1114,207,183,24,2209
2022,07003 Alcudia,1336,0,1,49,0,15,1,14,20,110,75,474,4,9,654,69,48,21,1405
2022,07011 Calvià,4997,0,1,100,0,72,16,56,148,194,168,2022,30,78,2352,308,267,41,5305
2022,07027 Inca,1224,0,1,50,0,28,3,25,28,79,69,215,13,3,807,86,61,25,1310
2022,07031 Llucmajor,1903,0,0,42,0,31,3,28,28,89,78,563,13,7,1130,238,193,45,2141
2022,07033 Manacor,1613,0,2,23,0,25,4,21,25,109,80,421,23,14,971,216,178,38,1829
2022,07036 Marratxí,1071,0,0,11,0,6,0,6,4,34,27,353,10,3,650,302,254,48,1373
2022,07040 Palma,29913,2,22,434,3,360,61,299,718,697,486,13020,926,155,13576,4808,4196,612,34721
2022,07015 Ciutadella de Menorca,1328,0,1,20,0,15,4,11,5,100,52,419,24,8,736,303,273,30,1631
2022,07032 Maó-Mahón,1265,0,0,30,0,17,5,12,7,36,15,220,10,20,925,102,89,13,1367
2022,CANARIAS,81767,13,47,1211,1,1051,234,817,1615,3679,2370,23596,1244,744,48566,13684,11699,1985,95451
2022,Provincia de PALMAS (LAS),44762,7,31,638,1,599,126,473,881,1856,1042,11697,713,483,27856,8054,6853,1201,52816
2022,35014 Oliva (La),1589,0,2,41,0,26,1,25,27,68,56,557,4,12,852,207,184,23,1796
2022,35015 Pájara,827,0,0,17,0,10,3,7,11,39,21,203,2,12,533,122,106,16,949
2022,35017 Puerto del Rosario,1675,0,2,38,0,19,7,12,23,55,37,447,52,9,1030,417,351,66,2092
2022,35002 Agüimes,1214,0,0,22,0,9,1,8,12,77,46,292,7,2,793,165,140,25,1379
2022,35006 Arucas,999,0,0,16,0,13,2,11,5,39,18,138,0,7,781,236,172,64,1235
2022,35009 Gáldar,647,0,1,8,0,9,0,9,6,20,11,95,1,4,503,112,101,11,759
2022,35011 Ingenio,832,0,0,10,0,11,3,8,4,37,18,135,8,2,625,148,134,14,980
2022,35012 Mogán,1459,0,0,17,0,25,7,18,18,67,46,527,10,19,776,85,72,13,1544
2022,35016 Palmas de Gran Canaria (Las),15983,1,7,145,1,195,47,148,475,547,308,4602,364,205,9441,3269,2786,483,19252
2022,35019 San Bartolomé de Tirajana,3766,0,1,50,0,42,5,37,83,109,59,1517,50,70,1844,311,279,32,4077
