Fecha,Lugar,III. TOTAL INFRACCIONES PENALES
2019,Total Nacional,74538
2019,Albacete,436
2019,Alicante/Alacant,4351
2019,Almería,1282
2019,Araba/Álava,564
2019,Asturias,1573
2019,Ávila,191
2019,Badajoz,696
2019,"Balears, Illes",2193
2019,Barcelona,9442
2019,Bizkaia,1861
2019,Burgos,516
2019,Cáceres,535
2019,Cádiz,2359
2019,Cantabria,919
2019,Castellón/Castelló,940
2019,Ciudad Real,718
2019,Córdoba,1028
2019,"Coruña, A",1486
2019,Cuenca,157
2019,Gipuzkoa,1088
2019,Girona,1163
2019,Granada,1612
2019,Guadalajara,319
2019,Huelva,767
2019,Huesca,234
2019,Jaén,1011
2019,León,607
2019,Lleida,667
2019,Lugo,345
2019,Madrid,9480
2019,Málaga,2824
2019,Murcia,2366
2019,Navarra,852
2019,Ourense,345
2019,Palencia,206
2019,"Palmas, Las",2033
2019,Pontevedra,1315
2019,"Rioja, La",390
2019,Salamanca,378
2019,Santa Cruz de Tenerife,1834
2019,Segovia,169
2019,Sevilla,3287
2019,Soria,115
2019,Tarragona,1462
2019,Teruel,108
2019,Toledo,527
2019,Valencia/València,4823
2019,Valladolid,742
2019,Zamora,155
2019,Zaragoza,1395
2019,Ceuta,396
2019,Melilla,276
