Fecha,Lugar,III. TOTAL INFRACCIONES PENALES
2018,Total Nacional,228905
2018,Albacete,1656
2018,Alicante/Alacant,11762
2018,Almería,4131
2018,Araba/Álava,1725
2018,Asturias,5008
2018,Ávila,560
2018,Badajoz,2886
2018,"Balears, Illes",6735
2018,Barcelona,24252
2018,Bizkaia,4645
2018,Burgos,1392
2018,Cáceres,1588
2018,Cádiz,7498
2018,Cantabria,2798
2018,Castellón/Castelló,3253
2018,Ciudad Real,2240
2018,Córdoba,3292
2018,"Coruña, A",4070
2018,Cuenca,634
2018,Gipuzkoa,2711
2018,Girona,3784
2018,Granada,5154
2018,Guadalajara,1111
2018,Huelva,3155
2018,Huesca,822
2018,Jaén,2748
2018,León,1822
2018,Lleida,2061
2018,Lugo,921
2018,Madrid,31612
2018,Málaga,9681
2018,Murcia,7845
2018,Navarra,2794
2018,Ourense,1089
2018,Palencia,621
2018,"Palmas, Las",6777
2018,Pontevedra,3738
2018,"Rioja, La",1598
2018,Salamanca,1290
2018,Santa Cruz de Tenerife,5980
2018,Segovia,639
2018,Sevilla,9940
2018,Soria,266
2018,Tarragona,4333
2018,Teruel,424
2018,Toledo,2140
2018,Valencia/València,14277
2018,Valladolid,2167
2018,Zamora,606
2018,Zaragoza,3925
2018,Ceuta,1514
2018,Melilla,1235
