Fecha,Lugar,I. CRIMINALIDAD CONVENCIONAL,1. Homicidios dolosos y asesinatos consumados,2. Homicidios dolosos y asesinatos en grado tentativa,3. Delitos graves y menos graves de lesiones y riña tumultuaria,4. Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6.-Robos con violencia e intimidación,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8. Hurtos,9. Sustracciones de vehículos,10. Tráfico de drogas,11. Resto de criminalidad convencional,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),12.-Estafas informáticas,13.-Otros ciberdelitos,III. TOTAL INFRACCIONES PENALES
2023-01-01,ANDALUCÍA,9.39461684784111,0.0018823115303228,0.00894097976903332,0.138585186420016,0.00105880023580658,0.0694102376806534,0.0147055588306469,0.0547046788500065,0.218818715400026,0.543870387792645,0.369874215708431,2.5942958666674,0.169525682199698,0.124703138883886,5.52352554126162,1.79043119874892,1.5703183941718,0.220112804577123,11.18504804659
2023-01-01,Provincia de ALMERÍA,8.70993094172584,0.00135037689019005,0.0108030151215204,0.163395603712996,0.00135037689019005,0.103979020544634,0.0175548995724707,0.0864241209721633,0.221461809991169,0.603618469914953,0.473982288456708,1.79465088706258,0.0931760054231136,0.122884297007295,5.5932610791672,1.24234673897485,1.11946244196755,0.122884297007295,9.95227768070068
2023-01-01,04003 Adra,7.78656126482214,0,0,0.118577075098814,0,0.118577075098814,0,0.118577075098814,0.355731225296443,0.592885375494071,0.553359683794466,1.26482213438735,0.0395256916996047,0.158102766798419,5.13833992094862,0.671936758893281,0.632411067193676,0.0395256916996047,8.45849802371542
2023-01-01,04013 Almería,9.08967711820596,0,0.00501914804981003,0.0853255168467704,0,0.0853255168467704,0.0100382960996201,0.0752872207471504,0.245938254440691,0.451723324482902,0.351340363486702,2.52463146905444,0.185708477842971,0.220842514191641,5.28516289644996,1.97754433162515,1.82195074208104,0.155593589544111,11.0672214498311
2023-01-01,04902 Ejido (El),9.16571428571429,0.0114285714285714,0,0.342857142857143,0,0.148571428571429,0.0342857142857143,0.114285714285714,0.262857142857143,0.502857142857143,0.365714285714286,2.01142857142857,0.0685714285714286,0.16,5.65714285714286,1.24571428571429,1.17714285714286,0.0685714285714286,10.4114285714286
2023-01-01,04053 Huércal-Overa,6.81829492858209,0,0.0497685761210372,0.199074304484149,0,0,0,0,0.0995371522420744,0.597222913452446,0.497685761210372,1.09490867466282,0.0497685761210372,0.0995371522420744,4.62847757925646,0.945602946299706,0.895834370178669,0.0497685761210372,7.7638978748818
2023-01-01,04066 Níjar,9.80638672366105,0,0,0.251445813427206,0,0.0942921800352024,0.0628614533568016,0.0314307266784008,0.0628614533568016,0.565753080211215,0.440030173497611,1.22579834045763,0.0628614533568016,0.0314307266784008,7.51194367613779,0.534322353532814,0.471460900176012,0.0628614533568016,10.3407090771939
2023-01-01,04079 Roquetas de Mar,13.5690749506712,0,0.0194399354594143,0.2721590964318,0,0.184679386864436,0.0388798709188286,0.145799515945607,0.5443181928636,0.699837676538914,0.524878257404185,2.79935070615566,0.0874797095673642,0.126359580486193,8.83545066630379,1.04003654707866,0.8164772892954,0.223559257783264,14.6091114977498
2023-01-01,04102 Vícar,10.3145018276573,0,0.0723824689660164,0.289529875864066,0,0,0,0,0.289529875864066,0.832398393109189,0.61525098621114,2.31623900691253,0,0.0723824689660164,6.44203973797546,1.12192826897325,0.977163331041222,0.144764937932033,11.4364300966306
2023-01-01,Provincia de CÁDIZ,8.78742938816039,0.00240619643706473,0.00721858931119419,0.141163524307797,0.00160413095804315,0.0617590418846614,0.0128330476643452,0.0489259942203162,0.170839947031596,0.523748757801089,0.296764227237983,2.23295029359607,0.215755613856804,0.158006899367251,5.27197639360882,2.2265337697639,1.95383150689656,0.272702262867336,11.0139631579243
2023-01-01,11004 Algeciras,10.100679916318,0.0163441422594142,0,0.236990062761506,0.00817207112970711,0.0980648535564854,0.0490324267782427,0.0490324267782427,0.147097280334728,0.351399058577406,0.171613493723849,1.87957635983264,0.236990062761506,0.42494769874477,6.70109832635983,1.59355387029289,1.30753138075314,0.286022489539749,11.6942337866109
2023-01-01,11006 Arcos de la Frontera,6.71986560268795,0,0,0.0969211385003069,0,0,0,0,0.129228184667076,0.516912738668304,0.32307046166769,1.84150163150583,0.161535230833845,0.0969211385003069,3.87684554001228,0.581526831001842,0.419991600167997,0.161535230833845,7.30139243368979
2023-01-01,11007 Barbate,11.1490031479538,0,0,0.349772647778944,0,0,0,0,0.0874431619447359,0.874431619447359,0.393494228751312,2.22980062959077,0,0.131164742917104,7.47639034627492,1.18048268625394,0.918153200419727,0.262329485834208,12.3294858342078
2023-01-01,11008 Barrios (Los),10.968465661224,0,0,0.207736092068636,0,0.0830944368274544,0,0.0830944368274544,0.0415472184137272,0.332377747309818,0.207736092068636,2.78366363371972,0.207736092068636,0.0415472184137272,7.27076322240226,2.16045535751381,2.07736092068636,0.0830944368274544,13.1289210187378
2023-01-01,11012 Cádiz,8.6409707604408,0,0,0.0795995259406011,0,0.0619107423982453,0.0265331753135337,0.0353775670847116,0.238798577821803,0.397997629703005,0.150354660110024,3.31664691419171,0.274176144906515,0.114977093025313,4.15686413245361,2.69753949020926,2.44989652061628,0.247642969592981,11.3385102506501
