Fecha,Lugar,III. TOTAL INFRACCIONES PENALES
2016,Total Nacional,61215
2016,Albacete,489
2016,Alicante/Alacant,2833
2016,Almería,1084
2016,Araba/Álava,472
2016,Asturias,1526
2016,Ávila,99
2016,Badajoz,712
2016,"Balears, Illes",1804
2016,Barcelona,7586
2016,Bizkaia,1429
2016,Burgos,471
2016,Cáceres,518
2016,Cádiz,2081
2016,Cantabria,788
2016,Castellón/Castelló,900
2016,Ciudad Real,534
2016,Córdoba,883
2016,"Coruña, A",1343
2016,Cuenca,140
2016,Gipuzkoa,809
2016,Girona,982
2016,Granada,1251
2016,Guadalajara,215
2016,Huelva,647
2016,Huesca,206
2016,Jaén,995
2016,León,463
2016,Lleida,572
2016,Lugo,317
2016,Madrid,7339
2016,Málaga,2280
2016,Murcia,2130
2016,Navarra,641
2016,Ourense,295
2016,Palencia,135
2016,"Palmas, Las",1545
2016,Pontevedra,1074
2016,"Rioja, La",463
2016,Salamanca,319
2016,Santa Cruz de Tenerife,1721
2016,Segovia,112
2016,Sevilla,2736
2016,Soria,73
2016,Tarragona,1519
2016,Teruel,123
2016,Toledo,497
2016,Valencia/València,3858
2016,Valladolid,521
2016,Zamora,163
2016,Zaragoza,1069
2016,Ceuta,279
2016,Melilla,174
