Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,8.-Hurtos,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,6.-Robos con violencia e intimidación,9.-Sustracciones de vehículos,10.-Tráfico de drogas,III. TOTAL INFRACCIONES PENALES
2016,Total Nacional,333,900,28184,6363,1238,56696,33077,10259,15417,4825,18564,367936
2016,Araba/Álava,2,1,49,26,3,33,54,12,39,3,30,633
2016,Albacete,1,3,417,52,12,821,340,152,102,29,118,3897
2016,Alicante/Alacant,24,35,1016,366,73,2176,1814,882,720,328,1104,18563
2016,Almería,6,19,1176,134,26,1008,437,195,256,104,355,8796
2016,Ávila,1,3,122,16,6,62,90,38,25,14,40,1086
2016,Badajoz,6,5,539,86,15,901,385,121,102,53,201,4827
2016,Balears (Illes),6,23,877,231,48,1417,1018,385,390,227,709,13076
2016,Barcelona,0,145,843,766,182,3897,3628,9,2648,281,1593,24007
2016,Burgos,2,3,161,43,8,233,141,25,75,14,86,2060
2016,Cáceres,1,1,446,33,5,207,208,61,47,14,143,2715
2016,Cádiz,16,56,1140,177,27,1464,928,334,403,334,1087,13170
2016,Castellón/Castelló,2,7,450,100,8,609,626,275,192,70,165,5128
2016,Ciudad Real,1,7,462,74,7,420,481,145,113,54,256,4761
2016,Córdoba,4,21,853,71,12,788,556,199,142,60,269,6274
2016,Coruña (A),5,8,428,83,12,640,518,167,183,67,206,6117
2016,Cuenca,0,1,125,21,6,98,130,28,28,22,22,1358
2016,Girona,0,14,151,107,30,332,811,0,294,77,561,4110
2016,Granada,12,19,634,123,24,1294,663,316,266,135,753,8612
2016,Guadalajara,18,4,141,26,2,158,129,28,44,23,64,1700
2016,Gipuzkoa,2,13,86,48,12,60,202,35,68,10,94,1728
2016,Huelva,4,8,305,61,14,1015,457,150,105,39,185,4738
2016,Huesca,0,2,246,17,2,156,105,26,17,11,74,1608
2016,Jaén,3,18,378,60,6,425,443,179,133,83,149,4416
2016,León,0,4,375,42,4,347,219,69,88,30,61,2935
2016,Lleida,0,10,50,31,7,96,250,0,135,23,104,1418
2016,Rioja (La),0,3,345,47,10,578,158,56,49,20,137,2798
2016,Lugo,2,1,264,31,1,231,145,38,58,20,87,2329
2016,Madrid,47,94,3392,873,230,16906,4759,1587,2859,656,2029,61501
2016,Málaga,25,57,2018,299,38,3357,1529,742,712,416,1416,22182
2016,Murcia,15,23,1457,292,42,1744,1348,569,533,187,589,14083
2016,Navarra,4,6,227,116,43,344,291,89,96,35,235,3520
2016,Ourense,2,8,116,11,2,131,186,47,40,30,42,1819
2016,Asturias,5,17,928,104,16,959,506,123,216,102,182,7440
2016,Palencia,0,0,215,10,1,258,88,23,39,20,26,1557
2016,Palmas (Las),29,15,1211,203,33,1180,1077,341,421,137,473,11458
2016,Pontevedra,2,8,490,132,27,648,486,186,201,87,314,5847
2016,Salamanca,3,1,129,20,3,496,113,38,78,18,78,2006
2016,Santa Cruz de Tenerife,11,31,1112,157,23,1590,814,345,306,125,351,10339
2016,Cantabria,0,11,293,49,9,702,276,108,70,42,151,3745
2016,Segovia,0,1,62,7,1,72,76,27,11,17,57,975
2016,Sevilla,27,61,953,283,45,1295,1696,497,620,208,738,14723
2016,Soria,0,1,102,14,2,53,70,21,11,9,17,641
2016,Tarragona,0,24,129,118,29,225,698,1,322,32,369,3827
2016,Teruel,4,0,59,18,2,40,43,15,7,1,69,662
2016,Toledo,3,3,539,69,6,549,633,307,116,78,197,5502
2016,Valencia/València,24,55,1496,417,75,4559,1992,783,960,278,1427,25351
2016,Valladolid,0,2,215,39,6,361,263,76,86,19,165,2877
2016,Bizkaia,2,13,136,58,7,122,288,87,227,12,158,2207
2016,Zamora,0,0,41,13,1,97,62,13,15,12,38,846
2016,Zaragoza,9,16,520,131,31,1143,582,235,407,48,308,7436
2016,Ceuta,2,8,46,23,3,142,63,15,72,84,362,1916
2016,Melilla,1,11,219,35,1,257,202,59,270,27,120,2616
