Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,8.-Hurtos,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,6.-Robos con violencia e intimidación,9.-Sustracciones de vehículos,10.-Tráfico de drogas,III. TOTAL INFRACCIONES PENALES
2019,Total Nacional,1256,363,33570,8983,1958,58955,29401,8049,18253,3399,22888,411903
2019,Araba/Álava,2,1,27,37,10,33,78,26,48,7,49,699
2019,Albacete,2,0,404,83,14,554,241,88,111,16,170,3915
2019,Alicante/Alacant,54,19,1580,528,117,2448,1532,685,728,201,1360,21248
2019,Almería,26,13,1567,204,41,879,462,205,214,86,596,10493
2019,Ávila,1,0,146,33,4,72,72,30,6,9,63,1237
2019,Badajoz,10,2,605,108,17,561,369,114,177,14,361,5256
2019,Balears (Illes),43,7,1165,395,68,1460,980,399,459,134,865,15306
2019,Barcelona,167,1,798,859,342,6113,3745,11,3824,326,1785,28451
2019,Burgos,20,10,274,52,11,168,180,69,87,15,95,2721
2019,Cáceres,6,4,437,44,5,230,170,62,41,11,186,3028
2019,Cádiz,45,13,1257,222,30,1157,821,259,357,149,1569,13951
2019,Castellón/Castelló,15,7,650,129,13,420,486,219,171,70,226,5468
2019,Ciudad Real,9,4,587,89,19,414,317,106,88,14,153,4954
2019,Córdoba,14,4,671,115,13,504,477,192,139,30,443,6471
2019,Coruña (A),15,6,567,156,32,1205,460,157,159,30,223,7522
2019,Cuenca,6,3,194,41,5,70,80,27,54,4,77,1636
2019,Girona,18,0,144,132,49,324,762,0,352,54,426,4096
2019,Granada,45,20,708,155,37,1264,631,269,345,66,936,9690
2019,Guadalajara,0,0,348,52,7,165,152,70,59,15,60,2546
2019,Gipuzkoa,11,5,128,67,16,83,205,43,87,22,103,1898
2019,Huelva,12,6,916,106,18,871,423,148,144,39,292,6690
2019,Huesca,2,1,255,46,3,178,122,40,33,5,89,1922
2019,Jaén,17,7,530,88,7,417,324,130,153,27,255,4870
2019,León,5,1,316,53,10,234,313,91,76,22,98,3124
2019,Lleida,8,0,42,78,29,116,254,2,158,11,117,1537
2019,Rioja (La),15,7,390,63,12,494,158,54,46,22,170,3120
2019,Lugo,4,3,269,45,5,239,154,37,46,8,132,2394
2019,Madrid,129,26,3837,1256,313,20107,3764,936,3980,711,2970,73308
2019,Málaga,61,31,1998,424,71,3378,1198,419,810,277,1589,22329
2019,Murcia,43,22,1883,429,67,1246,1153,502,591,112,713,15770
2019,Navarra,6,3,310,123,32,399,297,68,98,28,194,4500
2019,Ourense,6,0,275,52,12,112,132,55,52,10,74,2383
2019,Asturias,30,9,1065,152,25,1112,501,116,191,47,263,8143
2019,Palencia,5,0,102,19,5,105,70,18,21,1,63,1211
2019,Palmas (Las),37,8,1547,340,50,1179,826,264,416,98,480,13185
2019,Pontevedra,11,3,487,152,36,411,509,126,147,31,443,6266
2019,Salamanca,2,0,225,38,6,540,144,61,53,6,102,2288
2019,Santa Cruz de Tenerife,46,22,1336,249,36,1606,730,252,359,104,297,11546
2019,Cantabria,19,6,442,74,14,502,272,87,94,20,188,4139
2019,Segovia,9,8,101,22,2,71,73,33,19,6,88,1210
2019,Sevilla,73,21,1214,341,52,1141,1512,387,645,180,1034,15235
2019,Soria,1,1,110,16,3,64,39,11,3,2,25,689
2019,Tarragona,25,0,169,183,67,258,696,3,310,41,396,4340
2019,Teruel,1,0,100,25,5,47,27,11,12,6,50,905
2019,Toledo,24,3,656,120,12,616,465,206,145,32,327,6587
2019,Valencia/València,88,28,1283,584,116,3323,1556,540,951,188,1556,23700
2019,Valladolid,8,6,322,71,16,429,222,63,104,13,95,3324
2019,Bizkaia,21,9,137,100,44,214,307,76,236,15,115,2531
2019,Zamora,10,1,55,32,6,65,76,21,42,5,84,1056
2019,Zaragoza,15,7,668,159,27,993,599,201,418,24,374,8064
2019,Ceuta,5,5,39,18,2,94,71,21,79,26,371,2162
2019,Melilla,9,0,234,24,5,270,194,39,315,9,98,2789
