Fecha,Lugar,I. CRIMINALIDAD CONVENCIONAL,1. Homicidios dolosos y asesinatos consumados,2. Homicidios dolosos y asesinatos en grado tentativa,3. Delitos graves y menos graves de lesiones y riña tumultuaria,4. Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6. Robos con violencia e intimidación,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8. Hurtos,9. Sustracciones de vehículos,10. Tráfico de drogas,11. Resto de criminalidad convencional,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),12.-Estafas informáticas,13.-Otros ciberdelitos,III. TOTAL INFRACCIONES PENALES
2023,ANDALUCÍA,331854,71,292,5021,34,3066,602,2464,7676,20294,14101,95492,5957,4790,189161,81327,72795,8532,413181
2023,Provincia de ALMERÍA,28314,8,29,540,3,360,78,282,657,2019,1602,6437,349,467,17445,4977,4414,563,33291
2023,04003 Adra,953,0,1,11,1,9,3,6,19,73,62,216,7,12,604,140,114,26,1093
2023,04013 Almería,7463,1,13,114,1,97,21,76,245,327,252,2144,143,193,4185,1611,1480,131,9074
2023,04902 Ejido (El),3785,3,5,93,0,40,13,27,62,225,165,796,47,80,2434,453,407,46,4238
2023,04053 Huércal-Overa,587,0,0,8,0,9,2,7,9,93,78,123,6,1,338,117,105,12,704
2023,04066 Níjar,1415,0,0,50,0,18,2,16,32,85,51,182,9,20,1019,173,157,16,1588
2023,04079 Roquetas de Mar,5722,1,1,94,0,62,14,48,198,367,317,1547,50,51,3351,744,648,96,6466
2023,04102 Vícar,1405,1,0,23,0,15,4,11,21,86,67,287,8,28,936,171,140,31,1576
2023,Provincia de CÁDIZ,47036,12,51,731,2,412,68,344,876,2581,1601,12826,994,789,27762,12871,11370,1501,59907
2023,11004 Algeciras,4982,1,7,135,0,53,6,47,81,173,99,958,107,185,3282,913,800,113,5895
2023,11006 Arcos de la Frontera,740,0,1,11,1,15,4,11,8,72,50,151,16,11,454,118,94,24,858
2023,11007 Barbate,1130,1,1,17,0,12,1,11,13,75,49,236,5,12,758,156,142,14,1286
2023,11008 Barrios (Los),1068,1,1,10,0,4,3,1,10,33,16,267,14,7,721,264,238,26,1332
2023,11012 Cádiz,4290,0,5,30,0,37,5,32,102,193,84,1707,106,57,2053,1613,1374,239,5903
2023,11015 Chiclana de la Frontera,3167,1,1,42,0,34,4,30,36,319,228,714,96,35,1889,1014,888,126,4181
2023,11014 Conil de la Frontera,1105,0,1,28,0,5,0,5,11,119,99,291,10,12,628,288,255,33,1393
2023,11020 Jerez de la Frontera,9204,2,6,109,0,65,15,50,250,455,257,3206,186,76,4849,2681,2386,295,11885
2023,11022 Línea de la Concepción (La),2204,1,1,55,1,22,8,14,29,46,26,348,48,53,1600,435,395,40,2639
2023,11027 Puerto de Santa María (El),3703,2,10,40,0,29,4,25,105,193,121,1090,76,62,2096,1036,946,90,4739
2023,11028 Puerto Real,1172,0,0,12,0,4,0,4,17,66,33,322,25,7,719,455,407,48,1627
2023,11030 Rota,1194,0,2,14,0,11,2,9,29,68,63,337,17,18,698,339,323,16,1533
2023,11031 San Fernando,3363,0,4,29,0,26,5,21,46,131,40,1237,86,17,1787,1279,1127,152,4642
2023,11033 San Roque,1419,0,3,31,0,18,3,15,12,65,33,214,20,29,1027,364,332,32,1783
2023,11032 Sanlúcar de Barrameda,2983,0,6,24,0,31,5,26,56,184,121,768,104,99,1711,781,685,96,3764
2023,Provincia de CÓRDOBA,24140,3,21,317,1,241,52,189,414,1464,1026,6743,269,152,14515,7670,6732,938,31810
2023,14013 Cabra,613,0,0,10,0,6,4,2,6,56,45,122,13,6,394,226,185,41,839
2023,14021 Córdoba,13027,1,14,103,1,141,33,108,285,557,321,4465,193,62,7205,3841,3392,449,16868
2023,14038 Lucena,1933,0,2,23,0,29,4,25,34,88,66,387,29,12,1329,524,451,73,2457
2023,14042 Montilla,382,0,0,14,0,4,2,2,3,31,25,84,2,10,234,181,159,22,563
2023,14049 Palma del Río,615,0,0,9,0,7,1,6,13,26,20,153,2,2,403,230,196,34,845
2023,14055 Priego de Córdoba,435,0,0,7,0,2,0,2,5,76,67,85,1,0,259,141,125,16,576
2023,14056 Puente Genil,863,0,0,16,0,4,0,4,18,67,49,224,9,6,519,199,179,20,1062
2023,Provincia de GRANADA,31815,11,28,425,1,301,47,254,632,2104,1653,8277,331,1178,18527,9937,8978,959,41752
2023,18017 Almuñécar,1080,0,0,14,0,11,1,10,23,80,73,323,25,12,592,286,267,19,1366
2023,18021 Armilla,1595,0,1,17,0,12,0,12,15,22,9,867,5,11,645,354,308,46,1949
2023,18022 Atarfe,680,0,2,11,0,3,0,3,19,41,29,100,5,38,461,210,185,25,890
2023,18023 Baza,793,0,0,15,0,4,1,3,12,75,47,229,20,4,434,190,181,9,983
2023,18905 Gabias (Las),680,3,0,10,0,6,2,4,14,37,33,241,2,16,351,285,247,38,965
2023,18087 Granada,10412,2,5,68,1,90,14,76,327,518,346,3649,128,232,5392,2851,2588,263,13263
2023,18122 Loja,444,0,2,9,0,1,0,1,4,28,17,83,2,26,289,164,145,19,608
2023,18127 Maracena,668,0,0,11,0,6,2,4,17,48,33,101,4,13,468,280,254,26,948
2023,18140 Motril,1982,1,2,20,0,27,2,25,39,105,82,469,34,64,1221,619,590,29,2601
2023,Provincia de HUELVA,20071,5,6,405,0,162,29,133,337,1309,968,4884,269,176,12518,3392,3004,388,23463
2023,21002 Aljaraque,392,0,1,7,0,1,0,1,2,39,29,45,6,8,283,183,164,19,575
2023,21005 Almonte,1726,0,0,33,0,13,0,13,19,110,96,481,12,12,1046,170,148,22,1896
2023,21010 Ayamonte,779,0,0,31,0,4,1,3,9,56,39,108,10,15,546,81,68,13,860
2023,21021 Cartaya,1331,1,0,37,0,8,2,6,19,101,80,297,10,3,855,145,135,10,1476
2023,21041 Huelva,6164,2,2,88,0,53,14,39,168,255,133,2166,123,37,3270,1501,1355,146,7665
2023,21042 Isla Cristina,875,0,0,23,0,12,2,10,17,59,40,140,13,8,603,39,36,3,914
2023,21044 Lepe,2061,1,1,37,0,9,0,9,32,132,112,545,16,7,1281,146,131,15,2207
2023,21050 Moguer,816,0,0,20,0,7,2,5,11,77,64,142,7,7,545,94,84,10,910
2023,Provincia de JAÉN,15547,2,17,215,1,141,37,104,207,1055,752,3692,155,161,9901,5526,5034,492,21073
2023,23002 Alcalá la Real,536,0,2,8,0,9,3,6,3,45,44,124,1,3,341,227,218,9,763
2023,23005 Andújar,1016,1,1,7,0,6,1,5,7,50,35,274,10,23,637,184,172,12,1200
2023,23050 Jaén,3520,0,5,36,0,41,14,27,77,166,107,1048,81,34,2032,1284,1166,118,4804
