Fecha,Lugar,III. TOTAL INFRACCIONES PENALES
2017,Total Nacional,67896
2017,Albacete,507
2017,Alicante/Alacant,3445
2017,Almería,1245
2017,Araba/Álava,576
2017,Asturias,1644
2017,Ávila,114
2017,Badajoz,839
2017,"Balears, Illes",1985
2017,Barcelona,8624
2017,Bizkaia,1636
2017,Burgos,469
2017,Cáceres,498
2017,Cádiz,2264
2017,Cantabria,767
2017,Castellón/Castelló,999
2017,Ciudad Real,579
2017,Córdoba,892
2017,"Coruña, A",1515
2017,Cuenca,190
2017,Gipuzkoa,944
2017,Girona,1021
2017,Granada,1328
2017,Guadalajara,219
2017,Huelva,706
2017,Huesca,262
2017,Jaén,1089
2017,León,567
2017,Lleida,608
2017,Lugo,299
2017,Madrid,8411
2017,Málaga,2630
2017,Murcia,2168
2017,Navarra,786
2017,Ourense,360
2017,Palencia,195
2017,"Palmas, Las",1719
2017,Pontevedra,1197
2017,"Rioja, La",405
2017,Salamanca,346
2017,Santa Cruz de Tenerife,1742
2017,Segovia,134
2017,Sevilla,3006
2017,Soria,87
2017,Tarragona,1335
2017,Teruel,100
2017,Toledo,428
2017,Valencia/València,4356
2017,Valladolid,608
2017,Zamora,159
2017,Zaragoza,1303
2017,Ceuta,323
2017,Melilla,267
