Fecha,Lugar,III. TOTAL INFRACCIONES PENALES
2020,Total Nacional,175898
2020,Albacete,1164
2020,Alicante/Alacant,9479
2020,Almería,3149
2020,Araba/Álava,1341
2020,Asturias,3784
2020,Ávila,391
2020,Badajoz,2256
2020,"Balears, Illes",5324
2020,Barcelona,19447
2020,Bizkaia,3512
2020,Burgos,1161
2020,Cáceres,1249
2020,Cádiz,5597
2020,Cantabria,2392
2020,Castellón/Castelló,2339
2020,Ciudad Real,1787
2020,Córdoba,2282
2020,"Coruña, A",3748
2020,Cuenca,468
2020,Gipuzkoa,2237
2020,Girona,2704
2020,Granada,3938
2020,Guadalajara,972
2020,Huelva,1988
2020,Huesca,772
2020,Jaén,2059
2020,León,1530
2020,Lleida,1568
2020,Lugo,854
2020,Madrid,22671
2020,Málaga,7220
2020,Murcia,6332
2020,Navarra,2186
2020,Ourense,931
2020,Palencia,477
2020,"Palmas, Las",5433
2020,Pontevedra,3242
2020,"Rioja, La",1183
2020,Salamanca,972
2020,Santa Cruz de Tenerife,4624
2020,Segovia,379
2020,Sevilla,7608
2020,Soria,227
2020,Tarragona,3156
2020,Teruel,370
2020,Toledo,1817
2020,Valencia/València,10782
2020,Valladolid,1517
2020,Zamora,405
2020,Zaragoza,3276
2020,Ceuta,878
2020,Melilla,720
