Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,4.-Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6.-Robos con violencia e intimidación,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8.-Hurtos,9.-Sustracciones de vehículos,10.-Tráfico de drogas,11. Resto de criminalidad convencional,III. TOTAL INFRACCIONES PENALES
2018,ANDALUCÍA,72,190,2931,26,2339,198,2141,7093,23157,15779,93459,6872,3663,195039,334841
2018,Provincia de ALMERÍA,9,11,326,0,220,24,196,550,2268,1790,6670,362,345,17543,28304
2018,04013 Almería,2,3,91,0,62,5,57,223,482,373,2402,164,118,4892,8439
2018,04902 Ejido (El),2,2,56,0,28,3,25,75,328,226,772,40,50,2392,3745
2018,04066 Níjar,1,0,29,0,24,4,20,19,101,85,236,3,10,965,1388
2018,04079 Roquetas de Mar,1,1,53,0,37,5,32,130,346,269,1548,59,57,3505,5737
2018,Provincia de CÁDIZ,6,45,519,8,336,32,304,795,2894,1824,13282,1542,788,30598,50813
2018,11004 Algeciras,3,11,61,4,45,2,43,123,220,169,1070,192,239,3166,5134
2018,11006 Arcos de la Frontera,0,0,4,0,9,2,7,10,60,39,140,10,11,557,801
2018,11012 Cádiz,0,1,61,0,54,8,46,73,301,107,1759,217,56,2905,5427
2018,11015 Chiclana de la Frontera,1,1,17,0,19,0,19,43,301,235,680,103,17,1839,3021
2018,11020 Jerez de la Frontera,0,12,85,2,52,5,47,217,621,353,3086,314,59,5840,10288
2018,11022 Línea de la Concepción (La),0,9,50,0,24,2,22,59,58,27,519,69,88,2148,3024
2018,11027 Puerto de Santa María (El),0,5,25,0,22,2,20,53,180,102,1352,119,41,2300,4097
2018,11028 Puerto Real,0,1,10,0,5,0,5,11,82,73,359,28,2,1024,1522
2018,11031 San Fernando,0,1,19,0,34,2,32,39,152,88,1067,156,9,2210,3687
2018,11033 San Roque,0,0,15,0,8,1,7,16,106,69,298,36,40,1132,1651
2018,11032 Sanlúcar de Barrameda,0,0,16,0,8,1,7,58,144,88,773,145,55,1506,2705
2018,Provincia de CÓRDOBA,4,9,150,1,181,15,166,541,1731,1122,6773,387,175,15609,25561
2018,14021 Córdoba,2,5,49,0,116,6,110,434,739,518,4664,335,83,8842,15269
2018,14038 Lucena,0,0,11,0,4,0,4,31,76,52,392,8,9,1075,1606
2018,14056 Puente Genil,0,0,4,0,7,1,6,30,80,50,296,4,12,568,1001
2018,Provincia de GRANADA,15,14,274,1,272,25,247,852,2389,1615,8476,600,680,20136,33709
2018,18087 Granada,1,8,99,0,104,12,92,514,494,281,3903,354,105,6319,11901
2018,18140 Motril,0,2,17,0,20,3,17,53,225,146,701,49,27,1726,2820
2018,Provincia de HUELVA,2,8,201,0,146,7,139,264,1789,1440,4650,228,195,11454,18937
2018,21041 Huelva,0,3,47,0,45,1,44,115,260,186,2301,49,47,3650,6517
2018,Provincia de JAÉN,4,6,129,1,127,14,113,201,973,667,3598,203,144,10603,15989
2018,23005 Andújar,0,0,1,0,14,0,14,11,50,28,237,7,11,575,906
2018,23050 Jaén,2,3,22,0,24,3,21,100,247,160,1324,113,21,2773,4629
2018,23055 Linares,0,2,18,0,12,0,12,24,63,47,377,43,21,990,1550
2018,23092 Úbeda,1,0,4,0,6,3,3,6,32,18,227,3,4,555,838
2018,Provincia de MÁLAGA,21,50,756,9,549,36,513,1477,5106,3863,25261,1945,924,43127,79225
2018,29007 Alhaurín de la Torre,0,1,14,0,2,0,2,10,103,86,202,15,10,716,1073
2018,29015 Antequera,0,1,12,0,10,1,9,16,68,43,361,13,10,771,1262
2018,29025 Benalmádena,0,2,33,2,21,2,19,59,238,159,1229,83,44,2311,4022
2018,29051 Estepona,1,4,29,1,21,1,20,50,380,293,932,112,69,2146,3745
2018,29054 Fuengirola,1,11,67,1,43,3,40,135,236,136,2196,141,90,2546,5467
2018,29067 Málaga,4,16,224,0,224,10,214,637,932,581,10505,716,320,13269,26847
2018,29069 Marbella,4,5,107,1,69,4,65,206,845,667,3427,448,106,6264,11482
2018,29070 Mijas,1,3,23,1,23,4,19,67,522,471,1130,83,35,2969,4857
2018,29082 Rincón de la Victoria,0,0,5,1,4,0,4,26,126,101,272,19,3,854,1310
2018,29084 Ronda,0,0,7,0,6,0,6,11,54,47,414,9,9,650,1160
2018,29094 Vélez-Málaga,0,0,31,0,18,3,15,34,176,113,903,77,35,1707,2981
2018,29901 Torremolinos,1,1,57,1,31,4,27,104,168,102,1689,96,74,2840,5062
2018,Provincia de SEVILLA,11,47,576,6,508,45,463,2413,6007,3458,24749,1605,412,45969,82303
2018,41004 Alcalá de Guadaíra,1,2,25,0,14,1,13,63,278,192,990,67,7,2252,3699
2018,41034 Coria del Río,0,1,5,0,8,0,8,15,109,70,228,29,4,581,980
2018,41038 Dos Hermanas,0,6,43,1,21,3,18,120,402,217,1322,132,24,2964,5035
2018,41039 Écija,1,1,11,0,15,0,15,17,67,33,303,20,0,745,1180
2018,41059 Mairena del Aljarafe,0,1,11,0,8,0,8,17,183,108,558,14,9,985,1786
2018,41069 Palacios y Villafranca (Los),0,1,6,0,7,0,7,16,103,58,225,1,14,596,969
2018,41081 Rinconada (La),0,0,23,0,16,0,16,13,89,45,278,19,3,734,1175
2018,41091 Sevilla,2,25,207,4,269,29,240,1798,2176,1012,16274,1137,138,22667,44697
2018,41095 Utrera,0,1,18,0,5,1,4,33,213,102,431,3,16,1169,1889
2018,ARAGÓN,9,8,485,0,346,33,313,919,2505,1751,10710,279,336,24770,40367
2018,Provincia de HUESCA,2,1,81,0,40,2,38,37,278,203,1106,22,48,3445,5060
2018,22125 Huesca,0,0,36,0,13,0,13,8,43,30,361,7,13,876,1357
2018,Provincia de TERUEL,0,3,34,0,15,0,15,16,247,182,461,17,33,1934,2760
2018,44216 Teruel,0,1,12,0,1,0,1,4,34,26,143,5,11,490,701
2018,Provincia de ZARAGOZA,7,4,370,0,291,31,260,866,1980,1366,9143,240,255,19391,32547
2018,50297 Zaragoza,6,1,271,0,218,23,195,797,1208,895,7722,185,179,13489,24076
2018,ASTURIAS (PRINCIPADO DE),7,11,370,3,207,17,190,355,1493,871,7223,211,140,16413,26433
2018,Provincia de ASTURIAS,7,11,370,3,207,17,190,355,1493,871,7223,211,140,16413,26433
2018,33004 Avilés,0,1,26,0,12,0,12,30,132,50,577,24,5,1179,1986
2018,33024 Gijón,1,4,105,0,52,3,49,114,325,198,2322,61,39,4456,7479
2018,33031 Langreo,1,0,10,0,5,0,5,18,76,55,196,11,7,799,1123
2018,33037 Mieres,0,0,20,0,8,3,5,9,72,34,152,5,7,604,877
2018,33044 Oviedo,0,2,101,0,66,6,60,131,311,193,2137,60,24,3622,6454
2018,33066 Siero,1,0,11,0,8,1,7,11,88,49,451,14,4,781,1369
2018,BALEARS (ILLES),8,36,801,1,584,73,511,1230,4110,3067,27629,1432,514,37316,73661
2018,Provincia de BALEARES,8,36,801,1,584,73,511,1230,4110,3067,27629,1432,514,37316,73661
2018,07026 Eivissa,1,0,52,0,29,2,27,67,135,76,1697,56,73,1747,3857
2018,07054 Santa Eulària des Riu,0,2,14,0,10,1,9,22,152,120,646,84,13,1316,2259
2018,07011 Calvià,1,4,133,0,56,17,39,145,375,307,2084,29,79,2836,5742
2018,07027 Inca,0,2,15,0,17,0,17,24,94,75,222,11,7,826,1218
2018,07031 Llucmajor,1,2,18,0,15,3,12,40,175,141,772,16,9,1435,2483
2018,07033 Manacor,1,3,15,0,18,1,17,34,227,186,449,20,10,1080,1857
2018,07036 Marratxí,0,0,5,1,9,0,9,11,103,85,400,12,3,946,1490
2018,07040 Palma,1,17,280,0,236,16,220,629,968,593,13206,774,120,13820,30051
2018,CANARIAS,25,41,1070,2,750,88,662,1490,5012,3229,27229,1354,620,53056,90649
2018,Provincia de PALMAS (LAS),11,18,553,1,453,53,400,796,2214,1348,13345,593,379,30505,48868
2018,35017 Puerto del Rosario,1,0,36,0,17,2,15,32,115,73,407,25,15,1418,2066
2018,35002 Agüimes,0,0,11,0,10,1,9,9,41,23,244,3,7,906,1231
2018,35006 Arucas,0,0,13,0,16,2,14,8,36,23,183,4,4,835,1099
2018,35011 Ingenio,0,0,8,0,5,0,5,10,45,24,128,0,0,546,742
2018,35016 Palmas de Gran Canaria (Las),7,7,164,1,126,11,115,341,470,226,4915,273,182,9349,15835
2018,35019 San Bartolomé de Tirajana,0,2,61,0,46,9,37,107,169,96,1825,71,48,2402,4731
2018,35022 Santa Lucía de Tirajana,0,2,33,0,23,2,21,43,165,96,745,14,11,2195,3231
2018,35026 Telde,0,3,29,0,63,7,56,58,159,106,827,124,16,3459,4738
2018,35004 Arrecife,0,2,32,0,22,8,14,65,167,78,483,32,32,1624,2459
2018,Provincia de SANTA CRUZ DE TENERIFE,14,23,517,1,297,35,262,694,2798,1881,13884,761,241,22551,41781
2018,38001 Adeje,0,8,81,0,29,4,25,107,301,198,2612,67,42,1825,5072
2018,38006 Arona,4,5,66,1,42,8,34,124,372,246,1943,89,40,2332,5018
2018,38017 Granadilla de Abona,0,1,26,0,16,1,15,25,149,107,364,51,11,1150,1793
2018,38023 San Cristóbal de La Laguna,3,2,59,0,38,2,36,126,377,237,1661,180,32,3130,5608
2018,38026 Orotava (La),3,1,6,0,10,0,10,12,67,35,670,2,3,895,1669
2018,38028 Puerto de la Cruz,1,0,27,0,12,2,10,25,103,63,724,22,13,1082,2009
2018,38031 Realejos (Los),1,0,8,0,10,0,10,11,65,51,105,15,7,509,731
2018,38038 Santa Cruz de Tenerife,0,3,97,0,73,11,62,193,478,344,3035,236,47,5080,9242
2018,CANTABRIA,2,3,275,0,102,8,94,177,1579,979,4669,123,87,10657,17674
2018,Provincia de CANTABRIA,2,3,275,0,102,8,94,177,1579,979,4669,123,87,10657,17674
2018,39016 Camargo,0,0,11,0,5,1,4,8,102,52,486,7,4,582,1205
2018,39020 Castro-Urdiales,0,0,13,0,12,1,11,7,105,60,345,3,10,713,1208
2018,39075 Santander,2,3,110,0,26,5,21,103,451,296,1978,68,15,3680,6436
2018,39087 Torrelavega,0,0,42,0,9,0,9,22,171,103,406,8,4,1017,1679
2018,CASTILLA Y LEON,11,23,723,2,439,52,387,708,5362,3569,19715,572,408,46900,74863
2018,Provincia de ÁVILA,1,1,58,0,27,4,23,39,430,349,820,44,39,3434,4893
2018,05019 Ávila,0,0,16,0,13,2,11,21,57,41,325,18,3,940,1393
2018,Provincia de BURGOS,3,3,122,0,64,6,58,147,887,665,2976,101,69,7301,11673
2018,09018 Aranda de Duero,1,0,11,0,5,0,5,8,71,46,328,25,3,932,1384
2018,09059 Burgos,1,3,65,0,27,3,24,101,264,196,1928,52,36,3180,5657
2018,09219 Miranda de Ebro,0,0,10,0,7,1,6,19,125,89,205,8,5,664,1043
2018,Provincia de LEÓN,1,10,155,1,65,9,56,164,1247,758,4307,168,65,9501,15684
2018,24089 León,0,3,90,0,17,1,16,104,323,204,2195,62,18,3130,5942
2018,24115 Ponferrada,0,1,8,0,7,1,6,21,179,114,687,34,6,1209,2152
2018,24142 San Andrés del Rabanedo,0,0,6,0,4,0,4,11,52,29,217,20,3,550,863
2018,Provincia de PALENCIA,0,2,36,0,33,4,29,23,252,161,851,20,29,3016,4262
2018,34120 Palencia,0,2,24,0,19,4,15,18,106,76,546,15,11,1457,2198
2018,Provincia de SALAMANCA,0,1,97,0,69,8,61,145,531,359,3418,61,60,5781,10163
2018,37274 Salamanca,0,0,33,0,31,5,26,124,232,167,2563,40,24,2880,5927
2018,Provincia de SEGOVIA,0,1,31,0,39,0,39,14,381,290,881,9,24,2726,4106
2018,40194 Segovia,0,1,6,0,7,0,7,10,76,52,507,4,4,917,1532
2018,Provincia de SORIA,0,0,42,1,13,0,13,10,164,86,460,16,8,1611,2325
2018,42173 Soria,0,0,25,1,4,0,4,7,61,39,268,9,2,835,1212
2018,Provincia de VALLADOLID,5,3,133,0,91,14,77,131,1136,686,4971,131,52,10513,17166
2018,47186 Valladolid,3,0,89,0,51,9,42,108,549,296,3352,91,30,5341,9614
2018,Provincia de ZAMORA,1,2,49,0,38,7,31,35,334,215,1031,22,62,3017,4591
2018,49275 Zamora,0,2,26,0,22,6,16,23,83,65,491,11,31,1134,1823
2018,CASTILLA - LA MANCHA,8,29,585,5,489,52,437,968,7411,5509,14490,668,439,43240,68332
2018,Provincia de ALBACETE,3,7,112,1,104,12,92,240,961,726,3842,99,77,7245,12691
2018,02003 Albacete,2,0,54,0,44,9,35,172,438,357,2652,43,26,3433,6864
2018,02037 Hellín,0,2,20,0,14,2,12,28,79,60,244,8,9,636,1040
2018,Provincia de CIUDAD REAL,0,8,119,0,96,6,90,128,928,572,2809,62,110,8089,12349
2018,13005 Alcázar de San Juan,0,0,6,0,9,0,9,10,51,26,161,6,6,491,740
2018,13034 Ciudad Real,0,1,31,0,17,3,14,33,165,95,845,16,13,1392,2513
2018,13071 Puertollano,0,0,5,0,3,0,3,18,68,51,385,13,12,907,1411
2018,13082 Tomelloso,0,0,9,0,7,0,7,21,51,33,180,2,7,660,937
2018,13087 Valdepeñas,0,0,5,0,9,2,7,6,36,22,181,3,5,599,844
2018,Provincia de CUENCA,1,5,48,0,46,9,37,76,561,374,1169,38,26,4009,5979
2018,16078 Cuenca,0,2,20,0,23,5,18,41,175,92,559,13,3,1257,2093
2018,Provincia de GUADALAJARA,1,1,76,3,68,4,64,161,1061,836,1900,164,35,6295,9765
2018,19046 Azuqueca de Henares,0,1,11,0,12,1,11,42,129,84,333,29,2,1140,1699
2018,19130 Guadalajara,0,0,26,1,25,2,23,88,201,134,955,69,3,1729,3097
2018,Provincia de TOLEDO,3,8,230,1,175,21,154,363,3900,3001,4770,305,191,17602,27548
2018,45165 Talavera de la Reina,0,1,30,0,17,0,17,38,155,99,690,39,37,1372,2379
2018,45168 Toledo,0,0,29,0,29,4,25,65,256,168,1090,60,18,2144,3691
2018,CATALUÑA,45,168,3225,5,2598,468,2130,22506,34491,25792,192054,9193,2452,204773,471510
2018,Provincia de BARCELONA,28,123,2311,1,1936,345,1591,20151,23986,17807,164695,8001,1699,146444,369375
2018,08015 Badalona,1,8,361,0,72,18,54,1278,594,408,3673,265,61,5953,12266
2018,08252 Barberà del Vallès,0,0,35,0,14,0,14,52,136,93,418,49,5,764,1473
2018,08019 Barcelona,10,44,3553,0,764,136,628,12283,9365,6327,109173,4768,500,53830,194290
2018,08056 Castelldefels,1,3,100,0,19,1,18,113,315,263,1050,63,3,2186,3853
2018,08266 Cerdanyola del Vallès,0,0,57,0,17,3,14,56,273,243,419,28,20,1199,2069
2018,08073 Cornellà de Llobregat,0,3,200,0,26,1,25,310,226,147,1529,95,17,2503,4909
2018,08077 Esplugues de Llobregat,0,0,76,0,10,2,8,121,197,159,587,72,4,1057,2124
2018,08089 Gavà,0,0,64,0,12,3,9,90,138,103,570,53,12,1369,2308
2018,08096 Granollers,1,1,126,0,17,5,12,132,239,142,798,48,10,1694,3066
2018,08101 Hospitalet de Llobregat (L'),0,7,611,0,115,31,84,1304,732,509,6552,348,94,6517,16280
2018,08102 Igualada,0,2,96,0,3,1,2,36,94,50,377,23,12,1058,1701
2018,08113 Manresa,2,1,180,0,26,7,19,167,306,229,867,33,16,2097,3695
2018,08121 Mataró,0,1,304,0,43,6,37,483,398,245,2098,120,15,3648,7110
2018,08124 Mollet del Vallès,0,1,107,0,18,0,18,58,155,86,566,27,12,1287,2231
2018,08125 Montcada i Reixac,1,0,81,0,6,1,5,66,119,72,370,35,5,1410,2093
2018,08169 Prat de Llobregat (El),0,0,174,0,25,5,20,133,136,90,5836,253,225,3118,9900
2018,08180 Ripollet,0,0,46,0,12,2,10,39,72,51,257,23,4,714,1167
2018,08184 Rubí,0,4,117,0,23,4,19,94,316,243,680,63,18,1908,3223
2018,08187 Sabadell,1,5,253,0,74,15,59,356,584,370,2250,124,72,4408,8127
2018,08194 Sant Adrià de Besòs,0,3,87,0,12,2,10,291,102,54,997,105,46,1719,3362
2018,08200 Sant Boi de Llobregat,0,2,133,0,23,4,19,112,227,153,1000,74,4,2139,3714
2018,08205 Sant Cugat del Vallès,0,0,128,0,16,3,13,143,688,643,1042,72,6,2297,4392
2018,08211 Sant Feliu de Llobregat,0,1,53,0,7,2,5,72,147,127,305,44,2,833,1464
2018,08217 Sant Joan Despí,0,0,35,0,6,0,6,63,100,72,224,43,3,653,1127
2018,08231 Sant Pere de Ribes,0,0,38,0,9,1,8,12,86,76,132,21,6,532,836
2018,08245 Santa Coloma de Gramenet,2,3,265,0,35,7,28,468,306,232,1764,137,30,2490,5500
2018,08279 Terrassa,1,9,279,0,61,16,45,352,606,449,2328,119,35,4540,8330
2018,08298 Vic,1,1,102,0,23,4,19,59,115,89,514,22,5,1114,1956
2018,08301 Viladecans,0,1,84,0,15,4,11,111,165,133,866,57,8,1477,2784
2018,08305 Vilafranca del Penedès,0,1,109,0,20,2,18,73,111,84,699,40,3,1261,2317
2018,08307 Vilanova i la Geltrú,1,0,135,0,16,3,13,125,281,208,841,92,7,1810,3308
2018,Provincia de GIRONA,7,9,388,0,263,53,210,956,4624,3629,12941,590,400,23119,43297
2018,17023 Blanes,1,0,102,0,21,5,16,91,208,140,672,50,9,1354,2508
2018,17066 Figueres,0,0,140,0,15,5,10,85,170,123,904,58,33,1665,3070
2018,17079 Girona,0,0,206,0,42,7,35,314,462,348,2138,97,19,3564,6842
2018,17095 Lloret de Mar,0,0,90,0,22,2,20,80,386,218,1807,29,38,1297,3749
2018,17114 Olot,0,0,55,0,13,3,10,19,176,91,208,10,0,716,1197
2018,17155 Salt,1,1,51,0,10,3,7,64,74,58,535,18,4,826,1584
2018,Provincia de LLEIDA,2,12,197,0,160,30,130,409,1263,812,4657,161,78,12108,19047
2018,25120 Lleida,1,5,356,0,75,19,56,331,558,348,2447,75,24,5426,9298
2018,Provincia de TARRAGONA,8,24,329,4,239,40,199,990,4618,3544,9761,441,275,23102,39791
2018,43038 Cambrils,1,0,39,0,6,2,4,26,216,171,390,16,5,820,1519
