Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,4.-Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6.-Robos con violencia e intimidación,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8.-Hurtos,9.-Sustracciones de vehículos,10.-Tráfico de drogas,11. Resto de criminalidad convencional,III. TOTAL INFRACCIONES PENALES
2020,ANDALUCÍA,61,237,3057,21,2204,238,1966,5187,17587,12127,57435,4821,4679,192305,287594
2020,Provincia de ALMERÍA,6,20,317,5,266,40,226,386,1617,1323,3723,241,538,16508,23627
2020,04003 Adra,0,1,11,0,10,0,10,11,58,49,85,4,24,468,672
2020,04013 Almería,2,6,63,3,64,11,53,130,229,163,1275,104,209,4511,6596
2020,04902 Ejido (El),1,4,52,0,36,4,32,63,208,158,518,26,54,2081,3043
2020,04066 Níjar,0,1,36,0,21,4,17,15,139,126,167,8,23,971,1381
2020,04079 Roquetas de Mar,0,1,68,0,58,14,44,94,222,172,739,39,108,3289,4618
2020,04102 Vícar,1,0,10,0,13,2,11,18,49,43,185,3,16,782,1077
2020,Provincia de CÁDIZ,9,44,587,2,299,35,264,602,1913,1269,8276,963,1086,28953,42734
2020,11004 Algeciras,2,11,94,0,29,4,25,82,175,103,796,84,261,3279,4813
2020,11006 Arcos de la Frontera,0,0,16,0,4,1,3,4,46,39,91,3,16,452,632
2020,11007 Barbate,1,0,17,1,9,2,7,6,46,26,213,1,20,694,1008
2020,11008 Barrios (Los),0,1,17,0,3,1,2,8,32,15,211,7,27,567,873
2020,11012 Cádiz,0,1,122,0,31,4,27,74,85,40,1268,168,48,2585,4382
2020,11015 Chiclana de la Frontera,0,1,15,0,7,1,6,4,41,28,80,13,22,413,596
2020,11014 Conil de la Frontera,0,5,30,0,15,1,14,28,281,232,488,66,38,1590,2541
2020,11020 Jerez de la Frontera,4,4,73,0,66,6,60,163,334,189,1833,186,127,5587,8377
2020,11022 Línea de la Concepción (La),1,3,28,0,17,3,14,35,33,19,245,68,76,1753,2259
2020,11027 Puerto de Santa María (El),0,0,27,0,18,2,16,50,132,65,657,62,66,2332,3344
2020,11028 Puerto Real,0,0,5,0,13,0,13,10,102,63,202,27,9,907,1275
2020,11030 Rota,0,2,13,0,5,0,5,13,52,42,235,26,28,646,1020
2020,11031 San Fernando,0,4,13,0,29,3,26,46,91,56,626,87,30,2295,3221
2020,11033 San Roque,0,3,16,0,14,2,12,41,78,49,524,101,111,1604,2492
2020,11032 Sanlúcar de Barrameda,0,1,18,1,7,1,6,6,66,50,152,18,49,957,1275
2020,Provincia de CÓRDOBA,3,21,210,4,228,22,206,286,1044,648,4051,208,291,15592,21938
2020,14013 Cabra,0,0,4,0,6,0,6,3,19,13,68,2,3,319,424
2020,14021 Córdoba,1,6,110,1,112,15,97,176,362,240,2623,169,158,8739,12457
2020,14038 Lucena,0,2,12,0,8,0,8,20,66,31,200,11,16,1018,1353
2020,14042 Montilla,0,0,4,0,6,1,5,6,22,17,53,1,4,274,370
2020,14049 Palma del Río,0,0,16,0,3,0,3,10,26,16,136,2,2,443,638
2020,14055 Priego de Córdoba,0,0,0,0,3,1,2,1,15,12,36,0,0,211,266
2020,14056 Puente Genil,0,3,2,1,11,0,11,43,48,31,160,5,33,566,872
2020,Provincia de GRANADA,10,27,300,0,208,25,183,566,1732,1123,4867,321,792,20017,28840
2020,18017 Almuñécar,0,0,13,0,12,0,12,6,60,48,234,24,14,693,1056
2020,18021 Armilla,0,0,4,0,6,0,6,8,34,14,427,6,13,574,1072
2020,18023 Baza,0,0,6,0,2,0,2,11,54,35,90,13,5,467,648
2020,18905 Gabias (Las),2,10,78,0,72,12,60,312,531,271,2165,140,161,5972,9443
2020,18087 Granada,0,0,4,0,1,0,1,5,20,12,52,0,12,218,312
2020,18122 Loja,0,0,5,0,5,1,4,13,17,12,64,8,6,441,559
2020,18127 Maracena,0,3,17,0,7,0,7,34,107,60,393,19,30,1517,2127
2020,18140 Motril,0,0,2,0,6,1,5,6,35,29,49,7,19,489,613
2020,Provincia de HUELVA,7,7,196,0,125,19,106,249,1557,1164,2995,161,215,10914,16426
2020,21002 Aljaraque,0,0,5,0,4,2,2,6,33,27,53,2,3,273,379
2020,21005 Almonte,0,0,5,0,6,2,4,8,177,147,257,6,15,887,1361
2020,21010 Ayamonte,0,0,3,0,7,0,7,10,97,80,106,13,15,395,646
2020,21021 Cartaya,0,1,26,0,15,2,13,21,99,78,129,18,8,638,955
2020,21041 Huelva,2,4,34,0,37,4,33,116,233,90,1274,44,36,3197,4977
2020,21042 Isla Cristina,0,0,19,0,4,1,3,12,88,73,121,8,20,590,862
2020,21044 Lepe,1,0,23,0,12,1,11,31,279,240,311,12,15,692,1376
2020,21050 Moguer,0,0,14,0,8,3,5,1,58,55,55,2,6,447,591
2020,Provincia de JAÉN,6,13,144,0,112,8,104,177,873,627,2177,176,165,11245,15088
2020,23002 Alcalá la Real,0,0,2,0,3,0,3,3,35,27,67,1,6,357,474
2020,23005 Andújar,1,0,10,0,1,0,1,5,35,21,149,12,7,634,854
2020,23050 Jaén,0,7,30,0,28,1,27,83,228,175,714,122,30,2650,3892
2020,23055 Linares,0,0,9,0,8,1,7,20,47,34,225,8,30,888,1235
2020,23060 Martos,0,0,6,0,8,1,7,2,34,22,73,2,6,437,568
2020,23092 Úbeda,3,0,6,0,3,0,3,16,46,25,129,7,4,580,794
2020,Provincia de MÁLAGA,8,41,691,5,458,58,400,1119,4154,3007,15265,1293,1045,42372,66451
2020,29007 Alhaurín de la Torre,0,0,11,0,7,1,6,9,95,73,133,9,16,831,1111
2020,29008 Alhaurín el Grande,0,0,11,0,5,0,5,8,101,85,82,7,11,452,677
2020,29015 Antequera,0,0,11,0,1,0,1,15,47,31,192,7,9,834,1116
2020,29025 Benalmádena,0,1,24,1,22,1,21,38,164,98,647,92,44,2201,3234
2020,29038 Cártama,0,0,8,0,6,0,6,4,64,56,98,7,8,676,871
2020,29042 Coín,0,0,13,0,5,0,5,12,66,55,119,4,7,487,713
2020,29051 Estepona,1,0,28,0,18,3,15,33,354,270,586,46,61,2156,3283
2020,29054 Fuengirola,0,12,45,0,26,6,20,87,199,124,1255,84,76,2275,4059
2020,29067 Málaga,4,11,242,2,182,20,162,506,824,477,6346,479,382,13399,22377
2020,29069 Marbella,2,7,93,2,47,7,40,173,750,501,2255,312,134,5859,9634
2020,29070 Mijas,0,2,25,0,29,4,25,45,345,297,818,70,65,2777,4176
2020,29075 Nerja,0,1,20,0,10,1,9,8,70,63,207,10,14,573,913
2020,29082 Rincón de la Victoria,0,0,7,0,5,0,5,11,69,62,204,9,10,848,1163
2020,29084 Ronda,0,0,7,0,7,0,7,14,46,35,250,5,8,644,981
2020,29094 Vélez-Málaga,0,0,26,0,32,8,24,36,206,149,501,58,27,1851,2737
2020,29901 Torremolinos,1,0,45,0,21,2,19,71,101,73,922,53,63,2445,3722
2020,Provincia de SEVILLA,12,64,612,5,508,31,477,1802,4697,2966,16081,1458,547,46704,72490
2020,41004 Alcalá de Guadaíra,0,1,18,0,22,1,21,39,237,155,606,73,31,2078,3105
2020,41017 Bormujos,0,0,3,0,4,0,4,13,32,14,91,5,2,299,449
2020,41021 Camas,0,1,8,0,12,0,12,11,58,28,227,25,7,790,1139
2020,41024 Carmona,0,0,8,0,7,0,7,10,210,158,146,2,9,825,1217
2020,41034 Coria del Río,0,0,9,2,5,0,5,22,79,53,193,31,8,796,1145
2020,41038 Dos Hermanas,2,5,47,1,36,4,32,76,286,172,1046,33,41,3617,5190
2020,41039 Écija,0,1,14,0,3,0,3,10,45,25,168,10,5,668,924
2020,41053 Lebrija,0,0,3,0,3,0,3,6,48,29,155,1,7,528,751
2020,41058 Mairena del Alcor,0,0,7,1,3,0,3,1,36,20,40,5,4,239,336
2020,41059 Mairena del Aljarafe,1,1,12,0,8,0,8,32,88,61,335,29,4,872,1382
2020,41065 Morón de la Frontera,0,2,8,0,6,3,3,6,55,36,95,2,17,497,688
2020,41069 Palacios y Villafranca (Los),1,0,9,0,3,0,3,11,52,31,162,1,12,805,1056
2020,41081 Rinconada (La),0,0,19,0,4,0,4,23,91,41,159,26,4,688,1014
2020,41086 San Juan de Aznalfarache,1,2,4,0,10,1,9,41,42,31,403,20,13,676,1212
2020,41091 Sevilla,3,33,221,0,255,15,240,1323,1907,1058,10171,1061,216,21928,37118
2020,41093 Tomares,0,0,1,0,3,0,3,9,45,29,111,3,0,292,464
2020,41095 Utrera,0,0,12,0,14,0,14,14,137,108,374,8,19,1313,1891
2020,ARAGÓN,4,35,391,1,306,37,269,769,1882,1139,6747,190,323,25376,36024
2020,Provincia de HUESCA,1,5,60,0,51,4,47,32,234,165,719,15,52,4120,5289
2020,22125 Huesca,0,2,18,0,5,1,4,17,64,41,230,5,12,986,1339
2020,Provincia de TERUEL,1,4,28,0,30,4,26,9,85,61,263,17,26,1898,2361
2020,44216 Teruel,0,0,10,0,14,1,13,7,16,12,83,5,5,475,615
2020,Provincia de ZARAGOZA,2,26,303,1,225,29,196,728,1563,913,5765,158,245,19358,28374
2020,50297 Zaragoza,2,14,201,0,163,23,140,688,1070,543,4858,120,174,13392,20682
2020,ASTURIAS (PRINCIPADO DE),5,9,269,1,215,20,195,317,1127,650,4148,289,180,17764,24324
2020,Provincia de ASTURIAS,5,9,269,1,215,20,195,317,1127,650,4148,289,180,17764,24324
2020,33004 Avilés,0,0,11,0,14,2,12,46,110,39,417,57,9,1156,1820
2020,33016 Castrillón,0,0,3,0,2,0,2,1,24,17,51,12,4,379,476
2020,33024 Gijón,1,2,78,0,61,4,57,112,228,114,1382,80,53,4814,6811
2020,33031 Langreo,0,1,8,0,6,2,4,12,81,38,120,9,13,884,1134
2020,33037 Mieres,0,0,17,0,6,0,6,4,18,13,104,8,13,686,856
2020,33044 Oviedo,1,4,54,0,69,5,64,105,207,121,1046,48,31,3888,5453
2020,33066 Siero,0,0,9,0,7,1,6,12,106,58,279,37,5,929,1384
2020,BALEARS (ILLES),7,30,605,4,520,57,463,749,2610,1857,12478,1021,431,41295,59750
2020,Provincia de BALEARES,7,30,605,4,520,57,463,749,2610,1857,12478,1021,431,41295,59750
2020,07026 Eivissa,0,2,32,1,18,3,15,58,112,42,666,36,26,2052,3003
2020,07046 Sant Antoni de Portmany,0,2,21,0,13,2,11,18,41,24,266,47,20,1012,1440
2020,07048 Sant Josep de sa Talaia,2,0,20,0,17,1,16,24,85,66,380,81,51,1073,1733
2020,07054 Santa Eulària des Riu,0,1,21,0,21,2,19,22,87,65,335,48,19,1170,1724
2020,07003 Alcudia,0,1,20,0,7,1,6,13,83,62,241,2,10,802,1179
2020,07011 Calvià,1,1,32,0,42,6,36,41,174,130,534,18,25,2316,3184
2020,07027 Inca,1,0,17,0,16,2,14,24,87,61,184,16,6,1077,1428
2020,07031 Llucmajor,0,1,20,0,17,1,16,12,105,94,320,21,7,1519,2022
2020,07033 Manacor,1,0,12,0,17,0,17,20,106,80,251,17,11,1187,1622
2020,07036 Marratxí,0,0,8,0,17,2,15,9,62,51,273,10,5,1231,1615
2020,07040 Palma,1,19,274,1,204,22,182,434,638,337,6551,618,123,17339,26202
2020,07015 Ciutadella de Menorca,1,2,9,0,4,0,4,11,46,36,239,9,17,804,1142
2020,07032 Maó-Mahón,0,1,10,0,9,1,8,2,24,18,137,8,10,873,1074
2020,CANARIAS,12,42,913,3,875,101,774,1180,3490,2356,16683,1012,573,58852,83635
2020,Provincia de PALMAS (LAS),4,24,487,1,560,59,501,685,1782,1148,8912,537,317,34837,48146
2020,35014 Oliva (La),0,1,30,0,5,2,3,11,69,41,244,5,2,820,1187
2020,35015 Pájara,0,0,5,0,4,1,3,3,45,30,188,4,14,655,918
2020,35017 Puerto del Rosario,0,0,32,0,23,0,23,20,104,39,266,19,25,1331,1820
2020,35002 Agüimes,0,0,6,0,4,1,3,4,57,43,152,10,0,809,1042
2020,35006 Arucas,0,0,11,0,12,0,12,11,24,19,108,3,5,1120,1294
2020,35009 Gáldar,1,0,10,0,12,0,12,3,20,8,55,1,12,639,753
2020,35011 Ingenio,0,0,3,0,6,0,6,7,32,27,110,4,1,684,847
2020,35012 Mogán,0,0,23,0,13,3,10,8,52,35,254,3,8,658,1019
2020,35016 Palmas de Gran Canaria (Las),3,13,116,0,188,25,163,351,439,251,3718,238,117,11683,16866
2020,35019 San Bartolomé de Tirajana,0,1,52,0,27,1,26,36,154,111,889,49,29,2002,3239
2020,35022 Santa Lucía de Tirajana,0,0,47,0,36,3,33,48,69,54,598,24,7,2640,3469
2020,35026 Telde,0,4,25,0,85,13,72,55,144,95,652,114,32,4359,5470
2020,35004 Arrecife,0,2,51,1,32,2,30,71,120,62,424,34,25,1697,2457
2020,35024 Teguise,0,0,7,0,10,2,8,5,55,38,115,3,6,464,665
2020,35028 Tías,0,0,11,0,8,0,8,20,132,85,329,2,4,694,1200
2020,Provincia de SANTA CRUZ DE TENERIFE,8,18,426,2,315,42,273,495,1708,1208,7771,475,256,24015,35489
2020,38024 Llanos de Aridane (Los),0,0,7,0,3,0,3,1,17,12,60,3,5,358,454
2020,38001 Adeje,0,1,50,0,19,4,15,55,169,106,1122,45,42,1630,3133
2020,38006 Arona,2,1,66,1,26,2,24,113,235,158,1024,69,31,2174,3742
2020,38011 Candelaria,0,0,6,0,6,0,6,3,18,14,54,5,3,488,583
2020,38017 Granadilla de Abona,2,0,34,0,15,0,15,20,111,86,415,54,16,1431,2098
2020,38019 Guía de Isora,0,1,14,0,10,1,9,0,42,29,212,14,3,686,982
2020,38020 Güímar,0,0,8,0,4,1,3,2,29,21,29,5,3,349,429
2020,38022 Icod de los Vinos,0,1,2,0,5,2,3,0,22,18,40,1,0,233,304
2020,38023 San Cristóbal de La Laguna,1,2,45,0,37,6,31,84,192,144,973,120,37,3671,5162
2020,38026 Orotava (La),0,1,8,0,9,0,9,8,72,62,307,4,10,668,1087
2020,38028 Puerto de la Cruz,0,0,13,0,12,4,8,34,69,40,358,6,4,931,1427
2020,38031 Realejos (Los),0,0,11,0,3,0,3,5,43,37,100,2,2,615,781
2020,38035 San Miguel de Abona,2,0,7,0,11,0,11,28,81,62,323,18,5,735,1210
2020,38038 Santa Cruz de Tenerife,0,7,88,0,84,12,72,102,245,153,1793,97,49,5656,8121
2020,38043 Tacoronte,0,0,6,0,5,0,5,8,42,35,72,1,1,463,598
2020,CANTABRIA,1,3,233,1,89,11,78,178,1374,858,3236,100,96,11274,16585
2020,Provincia de CANTABRIA,1,3,233,1,89,11,78,178,1374,858,3236,100,96,11274,16585
2020,39016 Camargo,0,0,15,0,3,0,3,6,122,60,308,2,4,607,1067
2020,39020 Castro-Urdiales,0,0,13,0,5,0,5,11,136,60,300,11,10,884,1370
2020,39052 Piélagos,0,0,11,0,6,0,6,4,87,70,63,4,2,440,617
2020,39075 Santander,1,0,68,1,35,4,31,89,300,191,1242,48,35,3531,5350
2020,39087 Torrelavega,0,0,26,0,10,3,7,25,94,55,339,13,8,1104,1619
2020,CASTILLA Y LEON,16,28,569,2,415,43,372,542,3355,2117,11414,400,502,47782,65025
2020,Provincia de ÁVILA,3,3,33,0,30,5,25,13,314,235,523,21,41,3466,4447
2020,05019 Ávila,1,0,3,0,13,2,11,7,37,21,197,10,4,922,1194
2020,Provincia de BURGOS,1,3,105,0,65,5,60,106,633,440,1876,66,78,7303,10236
2020,09018 Aranda de Duero,0,0,9,0,9,0,9,9,95,69,191,9,4,943,1269
2020,09059 Burgos,1,3,56,0,33,4,29,73,206,117,1228,35,36,3136,4807
2020,09219 Miranda de Ebro,0,0,16,0,3,0,3,15,52,41,165,6,12,734,1003
2020,Provincia de LEÓN,4,3,102,1,69,7,62,165,698,406,2318,88,85,8997,12530
