Fecha,Lugar,III. TOTAL INFRACCIONES PENALES
2019,Total Nacional,226505
2019,Albacete,1434
2019,Alicante/Alacant,12028
2019,Almería,3919
2019,Araba/Álava,1614
2019,Asturias,4941
2019,Ávila,502
2019,Badajoz,2687
2019,"Balears, Illes",6690
2019,Barcelona,24936
2019,Bizkaia,4732
2019,Burgos,1350
2019,Cáceres,1476
2019,Cádiz,7162
2019,Cantabria,2836
2019,Castellón/Castelló,3438
2019,Ciudad Real,2246
2019,Córdoba,3215
2019,"Coruña, A",4445
2019,Cuenca,613
2019,Gipuzkoa,2798
2019,Girona,3733
2019,Granada,4866
2019,Guadalajara,1179
2019,Huelva,2649
2019,Huesca,837
2019,Jaén,2664
2019,León,1782
2019,Lleida,2205
2019,Lugo,971
2019,Madrid,29964
2019,Málaga,9406
2019,Murcia,7843
2019,Navarra,2914
2019,Ourense,1240
2019,Palencia,670
2019,"Palmas, Las",6652
2019,Pontevedra,4194
2019,"Rioja, La",1551
2019,Salamanca,1247
2019,Santa Cruz de Tenerife,6013
2019,Segovia,608
2019,Sevilla,9772
2019,Soria,332
2019,Tarragona,4230
2019,Teruel,485
2019,Toledo,2346
2019,Valencia/València,13767
2019,Valladolid,2132
2019,Zamora,506
2019,Zaragoza,4011
2019,Ceuta,1394
2019,Melilla,1280
