Fecha,Lugar,III. TOTAL INFRACCIONES PENALES
2022,Total Nacional,75858
2022,Albacete,414
2022,Alicante/Alacant,3927
2022,Almería,1509
2022,Araba/Álava,654
2022,Asturias,1623
2022,Ávila,177
2022,Badajoz,857
2022,"Balears, Illes",2272
2022,Barcelona,9515
2022,Bizkaia,2034
2022,Burgos,615
2022,Cáceres,694
2022,Cádiz,2610
2022,Cantabria,956
2022,Castellón/Castelló,992
2022,Ciudad Real,799
2022,Córdoba,1152
2022,"Coruña, A",1524
2022,Cuenca,162
2022,Gipuzkoa,1207
2022,Girona,1188
2022,Granada,2011
2022,Guadalajara,331
2022,Huelva,702
2022,Huesca,241
2022,Jaén,1048
2022,León,615
2022,Lleida,773
2022,Lugo,367
2022,Madrid,8482
2022,Málaga,3044
2022,Murcia,2516
2022,Navarra,931
2022,Ourense,335
2022,Palencia,205
2022,"Palmas, Las",2452
2022,Pontevedra,1225
2022,"Rioja, La",570
2022,Salamanca,330
2022,Santa Cruz de Tenerife,1659
2022,Segovia,194
2022,Sevilla,2905
2022,Soria,121
2022,Tarragona,1420
2022,Teruel,106
2022,Toledo,558
2022,Valencia/València,4826
2022,Valladolid,806
2022,Zamora,211
2022,Zaragoza,1502
2022,Ceuta,260
2022,Melilla,231
