Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,4.-Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6.-Robos con violencia e intimidación,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8.-Hurtos,9.-Sustracciones de vehículos,10.-Tráfico de drogas,11. Resto de criminalidad convencional,III. TOTAL INFRACCIONES PENALES
2021,03119 Sant Joan d'Alacant,0,0,3,0,7,3,4,10,61,54,269,7,12,515,884
2021,03121 Santa Pola,0,0,6,0,17,1,16,10,93,71,507,8,15,1166,1822
2021,03122 San Vicente del Raspeig/Sant Vicent del Raspeig,0,1,17,0,23,0,23,23,79,70,408,17,11,1216,1795
2021,03133 Torrevieja,3,8,98,0,56,7,49,103,621,489,1517,72,61,3781,6320
2021,03139 Villajoyosa/Vila Joiosa (la),2,0,15,0,15,0,15,11,79,69,309,16,21,1127,1595
2021,03140 Villena,0,0,9,0,7,0,7,9,80,66,199,6,22,677,1009
2021,Provincia de CASTELLÓN/CASTELLÓ,3,4,287,1,254,13,241,303,1891,1517,4814,184,144,14298,22183
2021,12009 Almazora/Almassora,0,0,10,0,7,1,6,17,95,78,172,14,5,724,1044
2021,12027 Benicarló,0,1,19,0,7,0,7,39,69,51,396,6,5,889,1431
2021,12032 Borriana/Burriana,1,0,24,0,19,1,18,34,244,186,343,7,11,1138,1821
2021,12040 Castellón de la Plana/Castelló de la Plana,1,2,71,0,73,3,70,98,445,363,1618,84,36,3113,5541
2021,12084 Onda,1,0,17,0,9,0,9,4,83,76,92,7,10,628,851
2021,12126 Vall d'Uixó (la),0,0,17,1,11,0,11,19,78,67,175,2,2,733,1038
2021,12135 Vila-real,0,0,17,0,20,2,18,13,119,96,280,16,10,883,1358
2021,12138 Vinaròs,0,0,17,0,20,2,18,27,89,57,354,10,11,1049,1577
2021,Provincia de VALENCIA/VALÈNCIA,22,65,1241,2,1081,124,957,3063,7699,6054,34443,1338,904,74380,124238
2021,46005 Alaquàs,0,1,8,0,4,0,4,14,64,36,205,10,8,522,836
2021,46013 Alboraia/Alboraya,0,0,4,0,3,0,3,32,54,32,391,16,3,752,1255
2021,46021 Aldaia,0,1,25,0,23,5,18,38,223,185,415,18,22,1343,2108
2021,46022 Alfafar,2,0,5,0,12,0,12,19,53,30,848,15,5,623,1582
2021,46029 Algemesí,0,0,7,0,8,1,7,20,36,25,512,12,5,921,1521
2021,46017 Alzira,0,0,6,0,7,0,7,19,78,61,168,4,17,632,931
