Fecha,Lugar,1. Homicidios dolosos y asesinatos consumados,2. Homicidios dolosos y asesinatos en grado tentativa,3. Delitos graves y menos graves de lesiones y riña tumultuaria,4. Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6.-Robos con violencia e intimidación,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8. Hurtos,9. Sustracciones de vehículos,10. Tráfico de drogas,11. Resto de criminalidad convencional,III. TOTAL INFRACCIONES PENALES
2020-01-01,ANDALUCÍA,0.00273346137024853,0.00534807659396452,0.108387685637681,0.000594230732662724,0.0742788415828405,0.00820038411074559,0.0660784574720949,0.228184601342486,0.699171880050961,0.47681073988857,2.58335868717793,0.184805757858107,0.125501530738367,5.99353001578277,10.005894768868
2020-01-01,Provincia de ALMERÍA,0.00418515108395413,0.0111604028905443,0.133924834686532,0,0.096258474930945,0.0167406043358165,0.0795178705951285,0.203677352752434,0.806339108841829,0.669624173432661,1.99352696632348,0.103233726737535,0.153455539744985,5.84107586283865,9.34683742083089
2020-01-01,04013 Almería,0.0100738919978039,0.00503694599890195,0.115849757974745,0,0.100738919978039,0.00503694599890195,0.095701973979137,0.357623165922038,0.538953221882508,0.438214301904469,2.73506167740376,0.135997541970353,0.271995083940705,6.17529579465379,10.4466260017226
2020-01-01,04902 Ejido (El),0,0.0119625810464866,0.143550972557839,0,0.131588391511353,0.0358877431394598,0.0957006483718927,0.167476134650812,0.801492930114602,0.550278728138383,2.29681556092543,0.143550972557839,0.059812905232433,6.55549441347465,10.3117448620714
2020-01-01,04066 Níjar,0,0.0326125949841829,0.195675569905097,0,0.0978377849525487,0.0652251899683658,0.0326125949841829,0.195675569905097,0.880540064572938,0.815314874604572,1.46756677428823,0,0.0652251899683658,7.89224798617226,10.8273815347487
2020-01-01,04079 Roquetas de Mar,0,0,0.227272727272727,0,0.134297520661157,0.0206611570247934,0.113636363636364,0.299586776859504,0.847107438016529,0.723140495867769,2.76859504132231,0.0929752066115702,0.237603305785124,8.19214876033058,12.7995867768595
2020-01-01,Provincia de CÁDIZ,0.00161270163810169,0.00645080655240676,0.122565324495728,0.000806350819050845,0.0798287310860336,0.010482560647661,0.0693461704383726,0.15320665561966,0.44833105539227,0.274159278477287,2.27471566054243,0.251581455543863,0.217714721143728,6.2500251984631,9.80683866129637
2020-01-01,11004 Algeciras,0,0.0163992226768451,0.213189894798987,0,0.155792615430029,0.0245988340152677,0.131193781414761,0.237788728814254,0.38538173290586,0.303385619521635,2.45168379018835,0.360782898890593,0.819961133842256,6.99426847167444,11.6352484892216
2020-01-01,11006 Arcos de la Frontera,0,0,0.0977198697068404,0,0.0325732899022801,0,0.0325732899022801,0.0651465798045603,0.456026058631922,0.325732899022801,1.07491856677524,0.0977198697068404,0,3.35504885993485,5.17915309446254
2020-01-01,11012 Cádiz,0,0,0.180992355227663,0,0.0689494686581572,0.00861868358226964,0.0603307850758875,0.137898937316314,0.336128659708516,0.0948055194049661,3.44747343290786,0.327509976126247,0.0861868358226964,5.8779422031079,10.4630818688753
2020-01-01,11015 Chiclana de la Frontera,0,0,0.0473434411580206,0,0.0473434411580206,0,0.0473434411580206,0.0355075808685154,0.733823337949319,0.591793014475257,1.8463942051628,0.272224786658618,0.0946868823160412,5.00656890246068,8.08389257773201
2020-01-01,11020 Jerez de la Frontera,0.0047003746198572,0.0047003746198572,0.0987078670170013,0,0.0658052446780008,0.0188014984794288,0.047003746198572,0.286722851811289,0.390131093448148,0.239719105612717,3.23855811308161,0.249119854852432,0.126910114736145,7.69451325270624,12.1598691415706
2020-01-01,11022 Línea de la Concepción (La),0,0.0475081951636657,0.253377040872884,0,0.158360650545552,0.0158360650545552,0.142524585490997,0.142524585490997,0.158360650545552,0.110852455381887,1.29855733447353,0.33255736614566,0.205868845709218,7.47462270575007,10.0717373746971
2020-01-01,11027 Puerto de Santa María (El),0,0,0.0339347321984051,0,0.101804196595215,0,0.101804196595215,0.237543125388835,0.62213675697076,0.237543125388835,3.28035744584582,0.180985238391494,0.0565578869973418,6.91137379107517,11.424693173463
2020-01-01,11028 Puerto Real,0,0,0.0480457395440459,0,0.024022869772023,0,0.024022869772023,0.120114348860115,0.576548874528551,0.312297307036299,2.25814975857016,0.288274437264276,0.024022869772023,6.34203761981406,9.68121651812526
2020-01-01,11031 San Fernando,0,0,0.0421145726950168,0,0.0842291453900336,0.0105286431737542,0.0737005022162794,0.115815074911296,0.252687436170101,0.115815074911296,1.85304119858074,0.294802008865118,0.0421145726950168,6.92784720833026,9.61265121763758
2020-01-01,11033 San Roque,0.032032801588827,0,0.128131206355308,0,0.0640656031776539,0,0.0640656031776539,0.0960984047664809,1.02504965084246,0.576590428598885,1.69773848420783,0.0960984047664809,0.224229611121789,7.52770837337434,10.8911525402012
2020-01-01,11032 Sanlúcar de Barrameda,0,0.0145594315997903,0.0873565895987421,0,0.043678294799371,0.0145594315997903,0.0291188631995807,0.174713179197484,0.451342379593501,0.247510337196436,2.48966280356415,0.509580105992662,0.509580105992662,5.82377263991614,10.1042455302545
2020-01-01,Provincia de CÓRDOBA,0.00127717346186807,0.00510869384747228,0.0779075811739523,0,0.0664130200171397,0.00510869384747228,0.0613043261696674,0.174972764275926,0.454673752425033,0.301412937000865,1.88255368279354,0.0740760607883481,0.109836917720654,5.04866669476448,7.89548634126841
