Fecha,Lugar,III. TOTAL INFRACCIONES PENALES
2016,Total Nacional,223239
2016,Albacete,1676
2016,Alicante/Alacant,10223
2016,Almería,3977
2016,Araba/Álava,1740
2016,Asturias,5060
2016,Ávila,535
2016,Badajoz,3139
2016,"Balears, Illes",6399
2016,Barcelona,24396
2016,Bizkaia,4698
2016,Burgos,1481
2016,Cáceres,1699
2016,Cádiz,7783
2016,Cantabria,2737
2016,Castellón/Castelló,3271
2016,Ciudad Real,1989
2016,Córdoba,3178
2016,"Coruña, A",4803
2016,Cuenca,650
2016,Gipuzkoa,2542
2016,Girona,3606
2016,Granada,5161
2016,Guadalajara,874
2016,Huelva,2803
2016,Huesca,862
2016,Jaén,2750
2016,León,1767
2016,Lleida,2054
2016,Lugo,998
2016,Madrid,28760
2016,Málaga,9353
2016,Murcia,8205
2016,Navarra,2675
2016,Ourense,1160
2016,Palencia,553
2016,"Palmas, Las",6332
2016,Pontevedra,3971
2016,"Rioja, La",1589
2016,Salamanca,1131
2016,Santa Cruz de Tenerife,6509
2016,Segovia,453
2016,Sevilla,9187
2016,Soria,253
2016,Tarragona,4045
2016,Teruel,409
2016,Toledo,2116
2016,Valencia/València,14251
2016,Valladolid,2070
2016,Zamora,690
2016,Zaragoza,4277
2016,Ceuta,1363
2016,Melilla,1036
