Fecha,ID,Lugar,I. CRIMINALIDAD CONVENCIONAL,1. Homicidios dolosos y asesinatos consumados,2. Homicidios dolosos y asesinatos en grado tentativa,3. Delitos graves y menos graves de lesiones y riña tumultuaria,4. Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6. Robos con violencia e intimidación,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8. Hurtos,9. Sustracciones de vehículos,10. Tráfico de drogas,11. Resto de criminalidad convencional,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),12.-Estafas informáticas,13.-Otros ciberdelitos,III. TOTAL INFRACCIONES PENALES,Orden Total
2024,113,35002 Agüimes,"34,2083848217246",0,0,"0,301395460984358",0,"0,271255914885922","0,0602790921968715","0,21097682268905","0,271255914885922","1,08502365954369","0,663070014165587","8,01711926218391","0,150697730492179","0,0904186382953073","24,0212182404533","7,4143283402152","6,78139787214805","0,632930468067151","41,6227131619398",261
2024,89,50297 Zaragoza,"33,1506027779314","0,00727816869630531","0,0218345060889159","0,526939413612505",0,"0,349352097422655","0,0742373207023142","0,275114776720341","1,70309147493544","1,60119711318717","1,17469642758368","11,9842325753363","0,250369003152903","0,451246459170929","16,2550619663283","8,35679329709776","7,52562643197969","0,831166865118066","41,5073960750292",262
2024,340,36057 Vigo,"29,8628804294214","0,0102048799736034","0,0204097599472068","0,377580559023325","0,00340162665786779","0,513645625338037","0,159876452919786","0,35376917241825","0,649710691652748","1,79946050201206","0,867414797756287","10,5280345061008","0,459219598812152","0,336761039128912","15,1644516407746","11,6335631699079","9,78647989468564","1,84708327522221","41,4964435993292",263
2024,49,23050 Jaén,"31,1936756071881","0,00892267608901262","0,0446133804450631","0,258757606581366",0,"0,383675071827543","0,0713814087121009","0,312293663115442","0,562128593607795","1,33840141335189","0,78519549583311","9,78817566964684","0,597819297963845","0,356907043560505","17,8542748541142","10,2521548262755","9,01190284990274","1,24025197637275","41,4458304334636",264
2024,150,24115 Ponferrada,"30,6695875797695",0,"0,0158745277328","0,269866971457599","0,0158745277328","0,349239610121599","0,0634981109311998","0,285741499190399","0,507984887449598","1,96844143886719","1,5557037178144","8,98498269676477","0,285741499190399","0,222243388259199","18,0493380321935","10,6041845255104","9,63583833380957","0,968346191700797","41,2737721052799",265
2024,37,18127 Maracena,"27,2523532048409",0,"0,0448229493500672","0,268937696100403",0,"0,313760645450471",0,"0,313760645450471","0,851636037651277","1,52398027790229","0,986104885701479","4,39264903630659","0,179291797400269","1,16539668310175","18,5118780815778","13,8951142985208","11,967727476468","1,92738682205289","41,1474675033617",266
2024,384,30019 Cieza,"33,1438590537598",0,0,"1,01807075591754",0,"0,311077175419247","0,0282797432199316","0,282797432199316","0,735273323718221","2,20581997115466","1,97958202539521","7,04165606176296","0,113118972879726","0,254517688979384","21,4643251039281","7,9748875880207","7,06993580498289","0,90495178303781","41,1187466417805",267
2024,345,28009 Algete,"28,1570368970567",0,0,"0,519676855482591",0,"0,425190154485756",0,"0,425190154485756","0,755893607974678","1,3700571644541","1,0865970614636","6,28336561628951","0,70865025747626",0,"18,0942032408938","12,9446780365664","11,432890820617","1,51178721594936","41,1017149336231",268
2024,175,45165 Talavera de la Reina,"34,7659845641861",0,"0,0236021619580354","0,472043239160707",0,"0,342231348391513","0,106209728811159","0,236021619580354","0,767070263636149","1,67575349902051","0,826075668531238","10,5973707191579","0,495645401118742","0,483844320139725","19,9084236116028","6,27817508083741","5,6055134650334","0,672661615804008","41,0441596450235",269
2024,122,35004 Arrecife,"37,9351318047793",0,"0,0586776980739046","0,953512593700949",0,"0,968182018219425","0,410743886517332","0,557438131702093","0,704132376886855","0,616115829775998","0,234710792295618","8,91901010723349","0,513429858146665","0,425413311035808","24,7766580117062","2,96322375273218","2,77252123399199","0,19070251874019","40,8983555575115",270
