Fecha,Lugar,I. CRIMINALIDAD CONVENCIONAL,1. Homicidios dolosos y asesinatos consumados,2. Homicidios dolosos y asesinatos en grado tentativa,3. Delitos graves y menos graves de lesiones y riña tumultuaria,4. Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6. Robos con violencia e intimidación,"7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8. Hurtos,9. Sustracciones de vehículos,10.-Tráfico de drogas,11. Resto de criminalidad convencional,II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),12.-Estafas informáticas,13.-Otros ciberdelitos,III. TOTAL INFRACCIONES PENALES
2025-01-01,ANDALUCÍA,9.15748450975078,0.00150818783574582,0.00626478024079031,0.16195617066932,0.000928115591228194,0.0888670678600996,0.0171701384377216,0.071696929422378,0.208593979128537,0.501298433712128,0.339806320838423,2.55939475726065,0.176225947884453,0.118218723432691,5.33422834613514,2.44825291521107,2.13663810545621,0.311614809754866,11.6057374249619
2025-01-01,Provincia de ALMERÍA,9.04027364585927,0.00655282230056485,0.0091739512207908,0.225417087139431,0.00131056446011297,0.0681493519258745,0.0157267735213557,0.0524225784045188,0.262112892022594,0.439039094137845,0.306672083666435,2.19126377730889,0.0812549965270042,0.154646606293331,5.60135250252284,2.02875378425488,1.79678387481488,0.231969909439996,11.0690274301141
2025-01-01,04003 Adra,9.40623162845385,0,0,0.117577895355673,0,0.0391926317852244,0,0.0391926317852244,0.0783852635704488,0.470311581422693,0.313541054281795,2.19478737997257,0.0391926317852244,0.0783852635704488,6.38839898099157,1.33254948069763,1.21497158534196,0.117577895355673,10.7387811091515
2025-01-01,04013 Almería,10.0604415936845,0.00493400764771185,0.00986801529542371,0.197360305908474,0.00493400764771185,0.0937461453065252,0.0197360305908474,0.0740101147156778,0.439126680646355,0.286172443567288,0.192426298260762,3.22190699395584,0.167756260022203,0.231898359442457,5.40273837424448,2.32885160972,2.07721721968669,0.251634390033305,12.3892932034045
2025-01-01,04902 Ejido (El),10.1070616297776,0,0.0110944694070006,0.321739612803018,0,0.0554723470350031,0.0110944694070006,0.0443778776280024,0.17751151051201,0.332834082210018,0.266267265768015,2.50735008598214,0.0887557552560049,0.18860597991901,6.42369778665335,1.48665890053808,1.34243079824707,0.144228102291008,11.5937205303156
2025-01-01,04053 Huércal-Overa,5.77417633072929,0,0,0.33965743121937,0,0.0485224901741957,0,0.0485224901741957,0.242612450870979,0.582269882090349,0.33965743121937,1.06749478383231,0,0.194089960696783,3.29952933184531,2.13498956766461,2.08646707749042,0.0485224901741957,7.90916589839391
2025-01-01,04066 Níjar,10.0677228201717,0.0302334018623776,0,0.544201233522796,0,0.0302334018623776,0,0.0302334018623776,0.12093360744951,0.362800822348531,0.272100616761398,1.02793566332084,0.0302334018623776,0.0907002055871327,7.83045108235579,1.23956947635748,1.11863586890797,0.12093360744951,11.3072922965292
2025-01-01,04079 Roquetas de Mar,11.4739386835647,0.0091571737299,0,0.2014578220578,0,0.0732573898392,0.0183143474598,0.0549430423794,0.3754441229259,0.4670158602249,0.4120728178455,2.7837808138896,0.0457858686495,0.1098860847588,7.4081535474891,2.5731658181019,2.2526647375554,0.3205010805465,14.0471045016666
2025-01-01,04102 Vícar,10.2999826599619,0,0.0346800762961679,0.312120686665511,0,0.0693601525923357,0.0346800762961679,0.0346800762961679,0.104040228888504,0.242760534073175,0.173400381480839,2.70504595110109,0.0346800762961679,0.208080457777007,6.58921449627189,1.62996358591989,1.49124328073522,0.138720305184671,11.9299462458817
2025-01-01,Provincia de CÁDIZ,8.28436144403492,0,0.0031890526201655,0.156263578388109,0.000797263155041374,0.0797263155041374,0.0167425262558689,0.0629837892482686,0.118792210101165,0.404212419605977,0.251935156993074,2.04737178214625,0.182573262504475,0.146696420527613,5.14473913948199,2.59030799072942,2.22117514994527,0.369132840784156,10.8746694347643
2025-01-01,11004 Algeciras,8.40948006849206,0,0.00800140824785162,0.232040839187697,0,0.112019715469923,0.0480084494871097,0.064011265982813,0.0960168989742195,0.184032389700587,0.128022531965626,1.24821968666485,0.216038022691994,0.408071820640433,5.9050392869145,2.14437741042423,1.77631263102306,0.368064779401175,10.5538574789163
2025-01-01,11006 Arcos de la Frontera,4.3805965341751,0,0,0.0322102686336404,0,0,0,0,0.0322102686336404,0.515364298138247,0.354312954970044,0.547574566771887,0.0644205372672808,0.0644205372672808,3.12439605746312,0.901887521741931,0.708625909940089,0.193261611801842,5.28248405591703
2025-01-01,11007 Barbate,9.90796600466775,0,0,0.13210621339557,0,0.13210621339557,0,0.13210621339557,0.04403540446519,0.52842485358228,0.48438944911709,1.89352239200317,0.13210621339557,0.08807080893038,6.95759390550002,3.03844290809811,2.73019507684178,0.30824783125633,12.9464089127659
2025-01-01,11008 Barrios (Los),10.449106703819,0,0,0.122930667103754,0,0.204884445172922,0,0.204884445172922,0.122930667103754,0.36879200131126,0.204884445172922,2.21275200786756,0.163907556138338,0.204884445172922,7.04802491394853,3.60596623504344,3.27815112276676,0.327815112276676,14.0550729388625
2025-01-01,11012 Cádiz,9.80020936810923,0,0,0.211595429538722,0,0.0334098046640087,0.0111366015546696,0.0222732031093392,0.189322226429383,0.423190859077444,0.167049023320044,3.50802948972092,0.122502617101365,0.0779562108826871,5.2342027306947,4.5771432389692,3.88667394257968,0.690469296389514,14.3773526070784
