Fecha,Lugar,III. TOTAL INFRACCIONES PENALES
2021,Total Nacional,218809
2021,Albacete,1372
2021,Alicante/Alacant,10893
2021,Almería,3729
2021,Araba/Álava,1714
2021,Asturias,4511
2021,Ávila,576
2021,Badajoz,2876
2021,"Balears, Illes",6990
2021,Barcelona,23754
2021,Bizkaia,4687
2021,Burgos,1463
2021,Cáceres,1706
2021,Cádiz,6819
2021,Cantabria,2890
2021,Castellón/Castelló,2928
2021,Ciudad Real,2215
2021,Córdoba,3125
2021,"Coruña, A",4208
2021,Cuenca,668
2021,Gipuzkoa,2794
2021,Girona,3544
2021,Granada,5099
2021,Guadalajara,1106
2021,Huelva,2495
2021,Huesca,1002
2021,Jaén,2456
2021,León,1746
2021,Lleida,2313
2021,Lugo,1097
2021,Madrid,27943
2021,Málaga,9890
2021,Murcia,8052
2021,Navarra,2704
2021,Ourense,992
2021,Palencia,685
2021,"Palmas, Las",6919
2021,Pontevedra,3908
2021,"Rioja, La",1616
2021,Salamanca,1238
2021,Santa Cruz de Tenerife,5757
2021,Segovia,618
2021,Sevilla,9387
2021,Soria,319
2021,Tarragona,3807
2021,Teruel,415
2021,Toledo,2466
2021,Valencia/València,13226
2021,Valladolid,2145
2021,Zamora,559
2021,Zaragoza,3983
2021,Ceuta,812
2021,Melilla,592
