Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,8.-Hurtos,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,6.-Robos con violencia e intimidación,9.-Sustracciones de vehículos,10.-Tráfico de drogas,III. TOTAL INFRACCIONES PENALES
2017,Total Nacional,1208,332,30690,6796,1369,56846,31454,9584,15143,4410,18865,375865
2017,Araba/Álava,3,0,32,28,2,27,77,22,46,5,36,636
2017,Albacete,21,9,363,49,3,619,349,147,93,32,124,3661
2017,Alicante/Alacant,28,14,1142,328,48,2276,1829,870,682,284,1091,19373
2017,Almería,14,4,1283,157,27,996,423,190,220,91,358,9049
2017,Ávila,2,1,151,24,3,56,86,30,17,3,49,1227
2017,Badajoz,20,9,679,64,9,677,403,141,128,31,196,4872
2017,Balears (Illes),31,4,946,271,38,1351,945,326,471,203,663,13405
2017,Barcelona,138,3,851,665,210,4309,3368,4,2655,221,1664,23539
2017,Burgos,2,1,198,39,6,197,198,51,46,23,89,2095
2017,Cáceres,14,3,459,43,2,235,172,53,44,9,139,2841
2017,Cádiz,61,12,1217,200,28,1308,967,339,391,255,1123,12951
2017,Castellón/Castelló,13,11,473,98,9,467,444,195,173,40,182,4870
2017,Ciudad Real,7,3,552,59,12,534,526,223,95,29,207,5037
2017,Córdoba,20,3,618,97,15,709,675,237,175,47,227,6261
2017,Coruña (A),22,8,381,98,16,800,492,166,145,47,195,6398
2017,Cuenca,6,0,207,33,9,114,150,56,28,20,47,1683
2017,Girona,18,0,140,108,38,303,713,0,292,61,565,4009
2017,Granada,28,13,677,164,25,1445,648,310,345,83,887,9602
2017,Guadalajara,3,0,260,33,5,124,134,52,74,9,53,1910
2017,Gipuzkoa,18,2,118,39,11,62,182,51,76,24,124,1781
2017,Huelva,3,0,388,63,7,928,394,147,121,49,233,4768
2017,Huesca,4,2,235,25,2,161,111,28,20,19,78,1605
2017,Jaén,21,5,413,82,15,535,353,127,104,38,207,4992
2017,León,5,2,368,43,4,268,257,54,78,28,51,2905
2017,Lleida,18,0,46,76,30,91,241,2,115,14,128,1373
2017,Rioja (La),9,0,400,42,5,532,198,111,43,30,149,2908
2017,Lugo,5,0,301,31,9,266,115,38,66,18,135,2409
2017,Madrid,141,40,3794,994,255,18184,4170,1139,2930,824,2079,64799
2017,Málaga,70,21,2068,365,62,3388,1633,734,751,358,1550,22645
2017,Murcia,54,17,1713,297,42,1304,1241,547,489,202,647,14164
2017,Navarra,13,7,255,118,31,317,269,78,82,30,170,3367
2017,Ourense,3,1,185,24,6,108,120,34,47,19,69,2043
2017,Asturias,19,3,981,109,29,1070,522,167,162,89,182,7626
2017,Palencia,0,0,99,19,4,124,66,14,20,6,34,1121
2017,Palmas (Las),31,13,1582,235,53,1205,953,292,343,134,482,12716
2017,Pontevedra,8,2,528,100,11,597,461,161,215,43,313,5975
2017,Salamanca,14,10,227,40,4,431,170,44,41,12,98,2178
2017,Santa Cruz de Tenerife,40,15,1388,174,37,1766,936,334,273,120,363,11331
2017,Cantabria,7,3,302,63,18,614,356,143,60,39,111,3610
2017,Segovia,1,1,87,20,3,95,80,38,8,10,37,1084
2017,Sevilla,80,23,966,323,43,1320,1714,510,639,212,676,14578
2017,Soria,0,0,63,9,2,51,52,19,8,2,14,578
2017,Tarragona,17,0,132,135,40,213,629,0,255,31,388,3784
2017,Teruel,6,2,80,11,0,42,27,11,5,4,34,672
2017,Toledo,15,3,614,84,12,534,568,253,114,76,284,5568
2017,Valencia/València,85,44,1463,410,64,4058,1735,718,956,302,1354,24047
2017,Valladolid,9,6,309,40,4,505,252,79,84,48,68,3223
2017,Bizkaia,15,1,125,61,17,111,239,46,188,13,136,1996
2017,Zamora,2,1,37,17,7,67,61,21,18,6,86,862
2017,Zaragoza,21,6,529,146,30,951,514,180,390,53,342,7051
2017,Ceuta,12,4,54,19,4,137,66,13,56,35,274,2051
2017,Melilla,11,0,211,24,3,264,170,39,266,29,74,2636
