Fecha,Lugar,III. TOTAL INFRACCIONES PENALES
2023,Total Nacional,217795
2023,Albacete,1163
2023,Alicante/Alacant,10775
2023,Almería,3873
2023,Araba/Álava,1780
2023,Asturias,4209
2023,Ávila,588
2023,Badajoz,2470
2023,"Balears, Illes",7304
2023,Barcelona,25305
2023,Bizkaia,4868
2023,Burgos,1431
2023,Cáceres,1569
2023,Cádiz,6739
2023,Cantabria,2893
2023,Castellón/Castelló,2963
2023,Ciudad Real,2160
2023,Córdoba,2782
2023,"Coruña, A",3974
2023,Cuenca,600
2023,Gipuzkoa,2864
2023,Girona,4010
2023,Granada,4935
2023,Guadalajara,993
2023,Huelva,2433
2023,Huesca,915
2023,Jaén,2433
2023,León,1780
2023,Lleida,2345
2023,Lugo,1062
2023,Madrid,28451
2023,Málaga,9600
2023,Murcia,7338
2023,Navarra,2630
2023,Ourense,912
2023,Palencia,744
2023,"Palmas, Las",6963
2023,Pontevedra,4007
2023,"Rioja, La",1277
2023,Salamanca,1032
2023,Santa Cruz de Tenerife,5573
2023,Segovia,444
2023,Sevilla,8705
2023,Soria,296
2023,Tarragona,4056
2023,Teruel,422
2023,Toledo,2308
2023,Valencia/València,14053
2023,Valladolid,1737
2023,Zamora,466
2023,Zaragoza,4176
2023,Ceuta,783
2023,Melilla,606
